imageTL,imageBL,imageTR,imageBR,correct_answer
C:\LZ\natural\natural_20.jpg, C:\LZ\natural\natural_17.jpg, C:\LZ\natural\natural_93.jpg, C:\LZ\natural\natural_73.jpg,     z
C:\LZ\final_scrambled\scrambled_10.jpg, C:\LZ\final_scrambled\scrambled_137.jpg, C:\LZ\final_scrambled\scrambled_185.jpg, C:\LZ\final_scrambled\scrambled_221.jpg,     k
C:\LZ\noise\noise_105.jpg, C:\LZ\noise\noise_96.jpg, C:\LZ\noise\noise_37.jpg, C:\LZ\noise\noise_23.jpg,     z
C:\LZ\natural\natural_126.jpg, C:\LZ\natural\natural_121.jpg, C:\LZ\natural\natural_6.jpg, C:\LZ\natural\natural_43.jpg,     k
C:\LZ\noise\noise_73.jpg, C:\LZ\noise\noise_144.jpg, C:\LZ\noise\noise_10.jpg, C:\LZ\noise\noise_131.jpg,     m
C:\LZ\noise\noise_16.jpg, C:\LZ\noise\noise_181.jpg, C:\LZ\noise\noise_8.jpg, C:\LZ\noise\noise_218.jpg,     a
C:\LZ\noise\noise_104.jpg, C:\LZ\noise\noise_181.jpg, C:\LZ\noise\noise_152.jpg, C:\LZ\noise\noise_142.jpg,     z
C:\LZ\natural\natural_162.jpg, C:\LZ\natural\natural_7.jpg, C:\LZ\natural\natural_89.jpg, C:\LZ\natural\natural_240.jpg,     a
C:\LZ\final_scrambled\scrambled_140.jpg, C:\LZ\final_scrambled\scrambled_233.jpg, C:\LZ\final_scrambled\scrambled_126.jpg, C:\LZ\final_scrambled\scrambled_190.jpg,     a
C:\LZ\natural\natural_173.jpg, C:\LZ\natural\natural_104.jpg, C:\LZ\natural\natural_134.jpg, C:\LZ\natural\natural_101.jpg,     k
C:\LZ\noise\noise_238.jpg, C:\LZ\noise\noise_153.jpg, C:\LZ\noise\noise_148.jpg, C:\LZ\noise\noise_8.jpg,     z
C:\LZ\final_scrambled\scrambled_91.jpg, C:\LZ\final_scrambled\scrambled_19.jpg, C:\LZ\final_scrambled\scrambled_145.jpg, C:\LZ\final_scrambled\scrambled_100.jpg,     a
C:\LZ\noise\noise_157.jpg, C:\LZ\noise\noise_126.jpg, C:\LZ\noise\noise_83.jpg, C:\LZ\noise\noise_203.jpg,     z
C:\LZ\final_scrambled\scrambled_24.jpg, C:\LZ\final_scrambled\scrambled_94.jpg, C:\LZ\final_scrambled\scrambled_189.jpg, C:\LZ\final_scrambled\scrambled_114.jpg,     z
C:\LZ\final_scrambled\scrambled_146.jpg, C:\LZ\final_scrambled\scrambled_155.jpg, C:\LZ\final_scrambled\scrambled_126.jpg, C:\LZ\final_scrambled\scrambled_240.jpg,     k
C:\LZ\noise\noise_25.jpg, C:\LZ\noise\noise_214.jpg, C:\LZ\noise\noise_149.jpg, C:\LZ\noise\noise_167.jpg,     m
C:\LZ\final_scrambled\scrambled_46.jpg, C:\LZ\final_scrambled\scrambled_240.jpg, C:\LZ\final_scrambled\scrambled_226.jpg, C:\LZ\final_scrambled\scrambled_91.jpg,     k
C:\LZ\noise\noise_220.jpg, C:\LZ\noise\noise_86.jpg, C:\LZ\noise\noise_212.jpg, C:\LZ\noise\noise_139.jpg,     k
C:\LZ\final_scrambled\scrambled_196.jpg, C:\LZ\final_scrambled\scrambled_217.jpg, C:\LZ\final_scrambled\scrambled_28.jpg, C:\LZ\final_scrambled\scrambled_20.jpg,     a
C:\LZ\natural\natural_84.jpg, C:\LZ\natural\natural_58.jpg, C:\LZ\natural\natural_108.jpg, C:\LZ\natural\natural_21.jpg,     z
C:\LZ\final_scrambled\scrambled_93.jpg, C:\LZ\final_scrambled\scrambled_193.jpg, C:\LZ\final_scrambled\scrambled_91.jpg, C:\LZ\final_scrambled\scrambled_64.jpg,     m
C:\LZ\natural\natural_78.jpg, C:\LZ\natural\natural_16.jpg, C:\LZ\natural\natural_33.jpg, C:\LZ\natural\natural_161.jpg,     a
C:\LZ\noise\noise_239.jpg, C:\LZ\noise\noise_148.jpg, C:\LZ\noise\noise_96.jpg, C:\LZ\noise\noise_50.jpg,     z
C:\LZ\final_scrambled\scrambled_14.jpg, C:\LZ\final_scrambled\scrambled_22.jpg, C:\LZ\final_scrambled\scrambled_199.jpg, C:\LZ\final_scrambled\scrambled_85.jpg,     m
C:\LZ\final_scrambled\scrambled_70.jpg, C:\LZ\final_scrambled\scrambled_106.jpg, C:\LZ\final_scrambled\scrambled_133.jpg, C:\LZ\final_scrambled\scrambled_33.jpg,     k
C:\LZ\natural\natural_92.jpg, C:\LZ\natural\natural_79.jpg, C:\LZ\natural\natural_208.jpg, C:\LZ\natural\natural_135.jpg,     z
