imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code
LZ_natural\LZ_natural_196.jpg,LZ_natural\LZ_natural_231.jpg,LZ_natural\LZ_natural_117.jpg,LZ_natural\LZ_natural_206.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_113.jpg,    0,    l,    1,   11
LZ_natural\LZ_natural_216.jpg,LZ_natural\LZ_natural_171.jpg,LZ_natural\LZ_natural_175.jpg,LZ_natural\LZ_natural_225.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_175.jpg,    1,    a,    1,   11
LZ_natural\LZ_natural_146.jpg,LZ_natural\LZ_natural_67.jpg,LZ_natural\LZ_natural_162.jpg,LZ_natural\LZ_natural_201.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_188.jpg,    0,    l,    1,   11
LZ_natural\LZ_natural_19.jpg,LZ_natural\LZ_natural_209.jpg,LZ_natural\LZ_natural_114.jpg,LZ_natural\LZ_natural_219.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_19.jpg,    1,    a,    1,   11
LZ_natural\LZ_natural_210.jpg,LZ_natural\LZ_natural_163.jpg,LZ_natural\LZ_natural_70.jpg,LZ_natural\LZ_natural_107.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_70.jpg,    1,    a,    1,   11
LZ_natural\LZ_natural_93.jpg,LZ_natural\LZ_natural_35.jpg,LZ_natural\LZ_natural_190.jpg,LZ_natural\LZ_natural_218.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_190.jpg,    1,    a,    1,   11
LZ_natural\LZ_natural_123.jpg,LZ_natural\LZ_natural_186.jpg,LZ_natural\LZ_natural_155.jpg,LZ_natural\LZ_natural_161.jpg,LZ_natural\LZ_natural_198.jpg,LZ_natural\LZ_natural_172.jpg,LZ_natural\LZ_natural_50.jpg,LZ_natural\LZ_natural_237.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_natural\LZ_natural_209.jpg,    0,    l,    1,   12
LZ_natural\LZ_natural_167.jpg,LZ_natural\LZ_natural_173.jpg,LZ_natural\LZ_natural_222.jpg,LZ_natural\LZ_natural_14.jpg,LZ_natural\LZ_natural_80.jpg,LZ_natural\LZ_natural_168.jpg,LZ_natural\LZ_natural_154.jpg,LZ_natural\LZ_natural_169.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_natural\LZ_natural_167.jpg,    1,    a,    1,   12
LZ_natural\LZ_natural_239.jpg,LZ_natural\LZ_natural_71.jpg,LZ_natural\LZ_natural_189.jpg,LZ_natural\LZ_natural_100.jpg,LZ_natural\LZ_natural_102.jpg,LZ_natural\LZ_natural_199.jpg,LZ_natural\LZ_natural_143.jpg,LZ_natural\LZ_natural_208.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_natural\LZ_natural_148.jpg,    0,    l,    1,   12
LZ_natural\LZ_natural_41.jpg,LZ_natural\LZ_natural_73.jpg,LZ_natural\LZ_natural_177.jpg,LZ_natural\LZ_natural_195.jpg,LZ_natural\LZ_natural_105.jpg,LZ_natural\LZ_natural_240.jpg,LZ_natural\LZ_natural_116.jpg,LZ_natural\LZ_natural_81.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_natural\LZ_natural_164.jpg,    0,    l,    1,   12
