imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer,stimulus_type,condition_code
LZ_noise\LZ_noise_136.jpg,LZ_noise\LZ_noise_208.jpg,LZ_noise\LZ_noise_44.jpg,LZ_noise\LZ_noise_164.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_noise\LZ_noise_3.jpg,LZ_noise\LZ_noise_208.jpg,LZ_noise\LZ_noise_40.jpg,LZ_noise\LZ_noise_232.jpg,    z,    3,   31
LZ_noise\LZ_noise_61.jpg,LZ_noise\LZ_noise_106.jpg,LZ_noise\LZ_noise_4.jpg,LZ_noise\LZ_noise_171.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_noise\LZ_noise_139.jpg,LZ_noise\LZ_noise_61.jpg,LZ_noise\LZ_noise_1.jpg,LZ_noise\LZ_noise_185.jpg,    z,    3,   31
LZ_noise\LZ_noise_128.jpg,LZ_noise\LZ_noise_77.jpg,LZ_noise\LZ_noise_102.jpg,LZ_noise\LZ_noise_130.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_noise\LZ_noise_19.jpg,LZ_noise\LZ_noise_102.jpg,LZ_noise\LZ_noise_126.jpg,LZ_noise\LZ_noise_126.jpg,    z,    3,   31
LZ_noise\LZ_noise_58.jpg,LZ_noise\LZ_noise_32.jpg,LZ_noise\LZ_noise_170.jpg,LZ_noise\LZ_noise_146.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_noise\LZ_noise_192.jpg,LZ_noise\LZ_noise_58.jpg,LZ_noise\LZ_noise_182.jpg,LZ_noise\LZ_noise_136.jpg,    z,    3,   31
LZ_noise\LZ_noise_154.jpg,LZ_noise\LZ_noise_174.jpg,LZ_noise\LZ_noise_72.jpg,LZ_noise\LZ_noise_65.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_noise\LZ_noise_232.jpg,LZ_noise\LZ_noise_174.jpg,LZ_noise\LZ_noise_74.jpg,LZ_noise\LZ_noise_219.jpg,    z,    3,   31
LZ_noise\LZ_noise_169.jpg,LZ_noise\LZ_noise_228.jpg,LZ_noise\LZ_noise_137.jpg,LZ_noise\LZ_noise_237.jpg,LZ_noise\LZ_noise_135.jpg,LZ_noise\LZ_noise_119.jpg,LZ_noise\LZ_noise_67.jpg,LZ_noise\LZ_noise_184.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_noise\LZ_noise_83.jpg,LZ_noise\LZ_noise_137.jpg,LZ_noise\LZ_noise_140.jpg,LZ_noise\LZ_noise_107.jpg,    z,    3,   32
LZ_noise\LZ_noise_63.jpg,LZ_noise\LZ_noise_178.jpg,LZ_noise\LZ_noise_122.jpg,LZ_noise\LZ_noise_120.jpg,LZ_noise\LZ_noise_97.jpg,LZ_noise\LZ_noise_20.jpg,LZ_noise\LZ_noise_201.jpg,LZ_noise\LZ_noise_202.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_noise\LZ_noise_93.jpg,LZ_noise\LZ_noise_20.jpg,LZ_noise\LZ_noise_120.jpg,LZ_noise\LZ_noise_85.jpg,    z,    3,   32
LZ_noise\LZ_noise_167.jpg,LZ_noise\LZ_noise_112.jpg,LZ_noise\LZ_noise_64.jpg,LZ_noise\LZ_noise_195.jpg,LZ_noise\LZ_noise_18.jpg,LZ_noise\LZ_noise_162.jpg,LZ_noise\LZ_noise_105.jpg,LZ_noise\LZ_noise_192.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_noise\LZ_noise_174.jpg,LZ_noise\LZ_noise_18.jpg,LZ_noise\LZ_noise_105.jpg,LZ_noise\LZ_noise_156.jpg,    z,    3,   32
LZ_noise\LZ_noise_54.jpg,LZ_noise\LZ_noise_155.jpg,LZ_noise\LZ_noise_95.jpg,LZ_noise\LZ_noise_194.jpg,LZ_noise\LZ_noise_197.jpg,LZ_noise\LZ_noise_33.jpg,LZ_noise\LZ_noise_46.jpg,LZ_noise\LZ_noise_19.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_noise\LZ_noise_101.jpg,LZ_noise\LZ_noise_197.jpg,LZ_noise\LZ_noise_162.jpg,LZ_noise\LZ_noise_135.jpg,    z,    3,   32
LZ_noise\LZ_noise_160.jpg,LZ_noise\LZ_noise_210.jpg,LZ_noise\LZ_noise_78.jpg,LZ_noise\LZ_noise_156.jpg,LZ_noise\LZ_noise_82.jpg,LZ_noise\LZ_noise_114.jpg,LZ_noise\LZ_noise_176.jpg,LZ_noise\LZ_noise_45.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_noise\LZ_noise_56.jpg,LZ_noise\LZ_noise_176.jpg,LZ_noise\LZ_noise_228.jpg,LZ_noise\LZ_noise_214.jpg,    z,    3,   32
