imageone,imagetwo,imagethree,imagefour,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,text.started,text.stopped,Cross.started,Cross.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,Topleft.started,Topleft.stopped,Topright.started,Topright.stopped,Bottomleft.started,Bottomleft.stopped,Bottomright.started,Bottomright.stopped,Fixation_cross.started,Fixation_cross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_noise\LZ_noise_10.jpg,LZ_noise\LZ_noise_146.jpg,LZ_noise\LZ_noise_9.jpg,LZ_noise\LZ_noise_45.jpg,4,LZ_noise\LZ_noise_173.jpg,LZ_noise\LZ_noise_146.jpg,LZ_noise\LZ_noise_76.jpg,LZ_noise\LZ_noise_54.jpg,    z,0,0,0,0,21.54358570004115,None,22.60069350001868,23.627872200042475,23.623422600037884,24.62287150003249,24.588596699992195,25.5882367999875,25.5882367999875,26.588475800002925,26.588475800002925,None,28.542392100032885,None,28.542392100032885,None,28.542392100032885,None,28.542392100032885,None,27.547599100042135,28.552171599993017,z,0,0.5489484000136144,1.0054280999465846,None,5678,002,2020_Nov_22_0210,new_STLI,2020.2.4,144.359096157422,
LZ_scrambled\LZ_scrambled_57.jpg,LZ_scrambled\LZ_scrambled_133.jpg,LZ_scrambled\LZ_scrambled_236.jpg,LZ_scrambled\LZ_scrambled_13.jpg,3,LZ_scrambled\LZ_scrambled_57.jpg,LZ_scrambled\LZ_scrambled_124.jpg,LZ_scrambled\LZ_scrambled_166.jpg,LZ_scrambled\LZ_scrambled_187.jpg,    a,0,1,1,1,,,29.213148700015154,30.21279040002264,30.206626200000755,31.20647510001436,31.20647510001436,32.20649340003729,32.20649340003729,33.20660340000177,33.20660340000177,None,35.18107260001125,None,35.18107260001125,None,35.18107260001125,None,35.18107260001125,None,34.187721199996304,35.18995810003253,a,0,1.222782900033053,1.0062243999564089,None,5678,002,2020_Nov_22_0210,new_STLI,2020.2.4,144.359096157422,
LZ_natural\LZ_natural_12.jpg,LZ_natural\LZ_natural_163.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_174.jpg,2,LZ_natural\LZ_natural_161.jpg,LZ_natural\LZ_natural_191.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_37.jpg,    k,0,2,2,2,,,36.4562367000035,37.456106500001624,37.456106500001624,38.4564693000284,38.4564693000284,39.45618650002871,39.45618650002871,40.456191100005526,40.456191100005526,None,42.45146210002713,None,42.45146210002713,None,42.45146210002713,None,42.45146210002713,None,41.45296339999186,42.46187270001974,k,0,3.9598808999871835,1.0033965000184253,None,5678,002,2020_Nov_22_0210,new_STLI,2020.2.4,144.359096157422,
LZ_natural\LZ_natural_36.jpg,LZ_natural\LZ_natural_60.jpg,LZ_natural\LZ_natural_15.jpg,LZ_natural\LZ_natural_118.jpg,4,LZ_natural\LZ_natural_36.jpg,LZ_natural\LZ_natural_56.jpg,LZ_natural\LZ_natural_163.jpg,LZ_natural\LZ_natural_118.jpg,    a,0,3,3,3,,,46.466016600024886,47.470305300026666,47.45656960003544,48.45632230001502,48.45632230001502,49.45651749998797,49.45651749998797,50.4561151000089,50.4561151000089,None,52.444845999998506,56.44441260001622,52.444845999998506,56.44441260001622,52.444845999998506,56.44441260001622,52.444845999998506,56.44441260001622,51.448950099991634,52.45512520003831,a,0,5.071218799974304,1.0059877999592572,None,5678,002,2020_Nov_22_0210,new_STLI,2020.2.4,144.359096157422,
LZ_natural\LZ_natural_113.jpg,LZ_natural\LZ_natural_3.jpg,LZ_natural\LZ_natural_4.jpg,LZ_natural\LZ_natural_88.jpg,4,LZ_natural\LZ_natural_68.jpg,LZ_natural\LZ_natural_235.jpg,LZ_natural\LZ_natural_4.jpg,LZ_natural\LZ_natural_190.jpg,    k,0,4,4,4,,,57.57210119999945,58.57469580002362,58.5676629000227,59.56784620002145,59.56784620002145,60.56753880000906,60.56753880000906,61.56746500002919,61.56746500002919,None,63.935340800031554,None,63.935340800031554,None,63.935340800031554,None,63.935340800031554,None,62.56754340004409,63.935340800031554,k,0,1.5337988999672234,1.3463209999608807,None,5678,002,2020_Nov_22_0210,new_STLI,2020.2.4,144.359096157422,
LZ_scrambled\LZ_scrambled_28.jpg,LZ_scrambled\LZ_scrambled_73.jpg,LZ_scrambled\LZ_scrambled_98.jpg,LZ_scrambled\LZ_scrambled_162.jpg,2,LZ_scrambled\LZ_scrambled_28.jpg,LZ_scrambled\LZ_scrambled_157.jpg,LZ_scrambled\LZ_scrambled_125.jpg,LZ_scrambled\LZ_scrambled_162.jpg,    m,0,5,5,5,,,65.58114910003496,66.58165450004162,66.56814960000338,67.56810309999855,67.56810309999855,68.56788210000377,68.56788210000377,69.56805609998992,69.56805609998992,None,71.5839699000353,None,71.5839699000353,None,71.5839699000353,None,71.5839699000353,None,70.59109709999757,71.5938152000308,m,0,0.7160452000098303,1.0064844999578781,None,5678,002,2020_Nov_22_0210,new_STLI,2020.2.4,144.359096157422,
LZ_noise\LZ_noise_53.jpg,LZ_noise\LZ_noise_120.jpg,LZ_noise\LZ_noise_144.jpg,LZ_noise\LZ_noise_106.jpg,2,LZ_noise\LZ_noise_61.jpg,LZ_noise\LZ_noise_63.jpg,LZ_noise\LZ_noise_144.jpg,LZ_noise\LZ_noise_29.jpg,    k,0,6,6,6,,,72.38071980001405,73.38045610004338,73.36659079999663,74.36636670003645,74.36636670003645,75.36677170003532,75.36677170003532,76.36648110003443,76.36648110003443,None,78.37556780001614,None,78.37556780001614,None,78.37556780001614,None,78.37556780001614,None,77.38946320000105,78.39500359998783,k,0,1.3085284999688156,1.0045008999295533,None,5678,002,2020_Nov_22_0210,new_STLI,2020.2.4,144.359096157422,
LZ_scrambled\LZ_scrambled_121.jpg,LZ_scrambled\LZ_scrambled_131.jpg,LZ_scrambled\LZ_scrambled_217.jpg,LZ_scrambled\LZ_scrambled_124.jpg,1,LZ_scrambled\LZ_scrambled_229.jpg,LZ_scrambled\LZ_scrambled_125.jpg,LZ_scrambled\LZ_scrambled_32.jpg,LZ_scrambled\LZ_scrambled_124.jpg,    m,0,7,7,7,,,79.79483249998884,80.79689490003511,80.790399599995,81.79048180003883,81.79048180003883,82.79034659999888,82.79034659999888,83.79056300001685,83.79056300001685,None,85.79284760000883,None,85.79284760000883,None,85.79284760000883,None,85.79284760000883,None,84.79952320002485,85.80219060002128,m,0,0.8028472000150941,1.0064359999960288,None,5678,002,2020_Nov_22_0210,new_STLI,2020.2.4,144.359096157422,
LZ_noise\LZ_noise_33.jpg,LZ_noise\LZ_noise_204.jpg,LZ_noise\LZ_noise_119.jpg,LZ_noise\LZ_noise_98.jpg,1,LZ_noise\LZ_noise_33.jpg,LZ_noise\LZ_noise_112.jpg,LZ_noise\LZ_noise_53.jpg,LZ_noise\LZ_noise_192.jpg,    a,0,8,8,8,,,86.68681149999611,87.68576359999133,87.67241410003044,88.67233060003491,88.67233060003491,89.67228619998787,89.67228619998787,90.67233720002696,90.67233720002696,None,92.64620990003459,None,92.64620990003459,None,92.64620990003459,None,92.64620990003459,None,91.66548980004154,92.67389309999999,a,0,0.92579680000199,1.0015602000057697,None,5678,002,2020_Nov_22_0210,new_STLI,2020.2.4,144.359096157422,
LZ_noise\LZ_noise_190.jpg,LZ_noise\LZ_noise_18.jpg,LZ_noise\LZ_noise_66.jpg,LZ_noise\LZ_noise_99.jpg,2,LZ_noise\LZ_noise_190.jpg,LZ_noise\LZ_noise_191.jpg,LZ_noise\LZ_noise_39.jpg,LZ_noise\LZ_noise_215.jpg,    a,0,9,9,9,,,93.64272900001379,94.64426229998935,94.6378648999962,95.63780379999662,95.63780379999662,96.63786529999925,96.63786529999925,97.63726250000764,97.63726250000764,None,99.6186069000396,None,99.6186069000396,None,99.6186069000396,None,99.6186069000396,None,98.62170260003768,99.62863120000111,a,0,1.9773151999688707,1.0076169000240043,None,5678,002,2020_Nov_22_0210,new_STLI,2020.2.4,144.359096157422,
