imageone,imagetwo,imagethree,imagefour,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer,condition_code,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,text.started,text.stopped,Cross.started,Cross.stopped,Presentation_image_1.started,Presentation_image_1.stopped,Presentation_image_2.started,Presentation_image_2.stopped,Presentation_image_3.started,Presentation_image_3.stopped,Presentation_image_4.started,Presentation_image_4.stopped,Topleft.started,Topleft.stopped,Topright.started,Topright.stopped,Bottomleft.started,Bottomleft.stopped,Bottomright.started,Bottomright.stopped,Fixation_cross.started,Fixation_cross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_scrambled\LZ_scrambled_118.jpg,LZ_scrambled\LZ_scrambled_183.jpg,LZ_scrambled\LZ_scrambled_230.jpg,LZ_scrambled\LZ_scrambled_162.jpg,1,LZ_scrambled\LZ_scrambled_27.jpg,LZ_scrambled\LZ_scrambled_183.jpg,LZ_scrambled\LZ_scrambled_231.jpg,LZ_scrambled\LZ_scrambled_171.jpg,    z,21,0,0,0,0,18.890075199888088,None,20.127038699924015,21.147579599986784,21.14271689997986,22.146615499979816,22.119772699894384,23.11946319998242,23.11946319998242,24.11941579997074,24.11941579997074,None,25.94823389989324,None,25.94823389989324,None,25.94823389989324,None,25.94823389989324,None,24.94833749998361,25.958142399904318,m,0,2.894424399943091,1.0101074000122026,None,767,001,2020_Nov_23_0103,new_STLI,2020.2.4,143.97438407025518,
LZ_natural\LZ_natural_85.jpg,LZ_natural\LZ_natural_140.jpg,LZ_natural\LZ_natural_20.jpg,LZ_natural\LZ_natural_60.jpg,1,LZ_natural\LZ_natural_78.jpg,LZ_natural\LZ_natural_140.jpg,LZ_natural\LZ_natural_52.jpg,LZ_natural\LZ_natural_54.jpg,    z,11,0,1,1,1,,,28.92165539995767,29.924600699916482,29.917936999932863,30.91773009998724,30.91773009998724,31.91776429989841,31.91776429989841,32.91776929993648,32.91776929993648,None,34.912478099926375,None,34.912478099926375,None,34.912478099926375,None,34.912478099926375,None,33.915280399960466,34.9211828999687,z,0,1.3535840000258759,1.0012974998680875,None,767,001,2020_Nov_23_0103,new_STLI,2020.2.4,143.97438407025518,
LZ_scrambled\LZ_scrambled_123.jpg,LZ_scrambled\LZ_scrambled_140.jpg,LZ_scrambled\LZ_scrambled_194.jpg,LZ_scrambled\LZ_scrambled_240.jpg,2,LZ_scrambled\LZ_scrambled_81.jpg,LZ_scrambled\LZ_scrambled_140.jpg,LZ_scrambled\LZ_scrambled_206.jpg,LZ_scrambled\LZ_scrambled_98.jpg,    z,22,0,2,2,2,,,36.36245969997253,37.36201669997536,37.355561499949545,38.35543070000131,38.35543070000131,39.35547359997872,39.35547359997872,40.355400100001134,40.355400100001134,None,42.35757259989623,None,42.35757259989623,None,42.35757259989623,None,42.35757259989623,None,41.36324879992753,42.36747549998108,z,0,2.588659600005485,1.0084909000433981,None,767,001,2020_Nov_23_0103,new_STLI,2020.2.4,143.97438407025518,
LZ_natural\LZ_natural_239.jpg,LZ_natural\LZ_natural_107.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_219.jpg,3,LZ_natural\LZ_natural_239.jpg,LZ_natural\LZ_natural_80.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_197.jpg,    k,13,0,3,3,3,,,45.013310199952684,46.01500359992497,46.00128029996995,47.001196699915454,47.001196699915454,48.001215099939145,48.001215099939145,49.00118989998009,49.00118989998009,None,50.989099599886686,None,50.989099599886686,None,50.989099599886686,None,50.989099599886686,None,49.99922179989517,51.00793589989189,k,0,1.0126173000317067,1.0053003998473287,None,767,001,2020_Nov_23_0103,new_STLI,2020.2.4,143.97438407025518,
LZ_noise\LZ_noise_53.jpg,LZ_noise\LZ_noise_170.jpg,LZ_noise\LZ_noise_83.jpg,LZ_noise\LZ_noise_98.jpg,2,LZ_noise\LZ_noise_53.jpg,LZ_noise\LZ_noise_179.jpg,LZ_noise\LZ_noise_98.jpg,LZ_noise\LZ_noise_199.jpg,    a,32,0,4,4,4,,,52.05469499994069,53.056709299911745,53.04999329999555,54.04988379997667,54.04988379997667,55.049935399903916,55.049935399903916,56.0499250999419,56.0499250999419,None,58.03778579994105,None,58.03778579994105,None,58.03778579994105,None,58.03778579994105,None,57.04282879992388,58.04711189994123,k,0,1.53155610000249,1.0053365000057966,None,767,001,2020_Nov_23_0103,new_STLI,2020.2.4,143.97438407025518,
LZ_noise\LZ_noise_55.jpg,LZ_noise\LZ_noise_10.jpg,LZ_noise\LZ_noise_95.jpg,LZ_noise\LZ_noise_31.jpg,1,LZ_noise\LZ_noise_200.jpg,LZ_noise\LZ_noise_118.jpg,LZ_noise\LZ_noise_95.jpg,LZ_noise\LZ_noise_157.jpg,    k,31,0,5,5,5,,,59.613950999919325,60.61938619997818,60.61323949997313,61.61309949995484,61.61309949995484,62.61281859991141,62.61281859991141,63.61271129990928,63.61271129990928,None,65.6284847999923,None,65.6284847999923,None,65.6284847999923,None,65.6284847999923,None,64.62985719996504,65.63946479989681,k,0,2.4455607999116182,1.0051207998767495,None,767,001,2020_Nov_23_0103,new_STLI,2020.2.4,143.97438407025518,
LZ_scrambled\LZ_scrambled_59.jpg,LZ_scrambled\LZ_scrambled_26.jpg,LZ_scrambled\LZ_scrambled_79.jpg,LZ_scrambled\LZ_scrambled_71.jpg,4,LZ_scrambled\LZ_scrambled_59.jpg,LZ_scrambled\LZ_scrambled_209.jpg,LZ_scrambled\LZ_scrambled_123.jpg,LZ_scrambled\LZ_scrambled_74.jpg,    a,24,0,6,6,6,,,68.21620069991332,69.21657569997478,69.210151999956,70.20998689997941,70.20998689997941,71.21002069988754,71.21002069988754,72.21001619996969,72.21001619996969,None,74.17044779995922,None,74.17044779995922,None,74.17044779995922,None,74.17044779995922,None,73.17707849992439,74.18059279990848,k,0,1.9998259000713006,1.0059513999149203,None,767,001,2020_Nov_23_0103,new_STLI,2020.2.4,143.97438407025518,
LZ_natural\LZ_natural_160.jpg,LZ_natural\LZ_natural_55.jpg,LZ_natural\LZ_natural_182.jpg,LZ_natural\LZ_natural_110.jpg,2,LZ_natural\LZ_natural_198.jpg,LZ_natural\LZ_natural_92.jpg,LZ_natural\LZ_natural_182.jpg,LZ_natural\LZ_natural_94.jpg,    k,12,0,7,7,7,,,76.23564079997595,77.23757249990012,77.2239767999854,78.22382279997692,78.22382279997692,79.22386249992996,79.22386249992996,80.22382909990847,80.22382909990847,None,82.46259349992033,None,82.46259349992033,None,82.46259349992033,None,82.46259349992033,None,81.2251408000011,82.46259349992033,k,0,0.9757273000432178,1.2430454000132158,None,767,001,2020_Nov_23_0103,new_STLI,2020.2.4,143.97438407025518,
LZ_scrambled\LZ_scrambled_125.jpg,LZ_scrambled\LZ_scrambled_195.jpg,LZ_scrambled\LZ_scrambled_50.jpg,LZ_scrambled\LZ_scrambled_234.jpg,1,LZ_scrambled\LZ_scrambled_125.jpg,LZ_scrambled\LZ_scrambled_66.jpg,LZ_scrambled\LZ_scrambled_101.jpg,LZ_scrambled\LZ_scrambled_62.jpg,    a,21,0,8,8,8,,,83.53580829990096,84.53626959992107,84.52980019990355,85.52977649995591,85.52977649995591,86.52990579989273,86.52990579989273,87.52971759997308,87.52971759997308,None,89.5111453999998,None,89.5111453999998,None,89.5111453999998,None,89.5111453999998,None,88.51962699997239,89.52932699990924,z,0,0.8431110000237823,1.0036413001362234,None,767,001,2020_Nov_23_0103,new_STLI,2020.2.4,143.97438407025518,
LZ_natural\LZ_natural_101.jpg,LZ_natural\LZ_natural_72.jpg,LZ_natural\LZ_natural_7.jpg,LZ_natural\LZ_natural_214.jpg,2,LZ_natural\LZ_natural_52.jpg,LZ_natural\LZ_natural_72.jpg,LZ_natural\LZ_natural_193.jpg,LZ_natural\LZ_natural_35.jpg,    z,12,0,9,9,9,,,90.40747159998864,91.41135949990712,91.39085789991077,92.39063969999552,92.39063969999552,93.39070999994874,93.39070999994874,94.39066539995838,94.39066539995838,None,96.39225889998488,None,96.39225889998488,None,96.39225889998488,None,96.39225889998488,None,95.4052859999938,96.41016829991713,z,0,2.179443300003186,1.0051677000010386,None,767,001,2020_Nov_23_0103,new_STLI,2020.2.4,143.97438407025518,
