imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,fone_control_b1.thisRepN,fone_control_b1.thisTrialN,fone_control_b1.thisN,fone_control_b1.thisIndex,ftwo_control_b1.thisRepN,ftwo_control_b1.thisTrialN,ftwo_control_b1.thisN,ftwo_control_b1.thisIndex,fthree_control_b1.thisRepN,fthree_control_b1.thisTrialN,fthree_control_b1.thisN,fthree_control_b1.thisIndex,ffour_control_b1.thisRepN,ffour_control_b1.thisTrialN,ffour_control_b1.thisN,ffour_control_b1.thisIndex,text.started,text.stopped,Crossm.started,Crossm.stopped,Presentation_image_f1_1.started,Presentation_image_f1_1.stopped,Presentation_image_f1_2.started,Presentation_image_f1_2.stopped,Presentation_image_f1_3.started,Presentation_image_f1_3.stopped,Presentation_image_f1_4.started,Presentation_image_f1_4.stopped,Fixation_cross.started,Fixation_cross.stopped,displayed_choice_image.started,displayed_choice_image.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Presentation_image_f3_1.started,Presentation_image_f3_1.stopped,Presentation_image_f3_2.started,Presentation_image_f3_2.stopped,Presentation_image_f3_3.started,Presentation_image_f3_3.stopped,Presentation_image_f3_4.started,Presentation_image_f3_4.stopped,Presentation_image_f3_5.started,Presentation_image_f3_5.stopped,Presentation_image_f3_6.started,Presentation_image_f3_6.stopped,Presentation_image_f3_7.started,Presentation_image_f3_7.stopped,Presentation_image_f3_8.started,Presentation_image_f3_8.stopped,Presentation_image_f3_9.started,Presentation_image_f3_9.stopped,Presentation_image_f3_10.started,Presentation_image_f3_10.stopped,Presentation_image_f3_11.started,Presentation_image_f3_11.stopped,Presentation_image_f3_12.started,Presentation_image_f3_12.stopped,Presentation_image_f2_1.started,Presentation_image_f2_1.stopped,Presentation_image_f2_2.started,Presentation_image_f2_2.stopped,Presentation_image_f2_3.started,Presentation_image_f2_3.stopped,Presentation_image_f2_4.started,Presentation_image_f2_4.stopped,Presentation_image_f2_5.started,Presentation_image_f2_5.stopped,Presentation_image_f2_6.started,Presentation_image_f2_6.stopped,Presentation_image_f2_7.started,Presentation_image_f2_7.stopped,Presentation_image_f2_8.started,Presentation_image_f2_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_scrambled\LZ_scrambled_190.jpg,LZ_scrambled\LZ_scrambled_7.jpg,LZ_scrambled\LZ_scrambled_85.jpg,LZ_scrambled\LZ_scrambled_220.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_scrambled\LZ_scrambled_7.jpg,1,a,2,21,0,0,0,0,0,0,0,0,,,,,,,,,,,,,16.39461069999379,None,30.735077999997884,None,31.775430000008782,32.77540919999592,32.741625399998156,33.74128469999414,33.74128469999414,34.741270900005475,34.741270900005475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9665,001,2020_Dec_16_0103,new_STLI_updated,2020.2.10,144.03701173724292,
LZ_scrambled\LZ_scrambled_190.jpg,LZ_scrambled\LZ_scrambled_7.jpg,LZ_scrambled\LZ_scrambled_85.jpg,LZ_scrambled\LZ_scrambled_220.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_scrambled\LZ_scrambled_7.jpg,1,a,2,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.86971040000208,37.70633379998617,37.70633379998617,None,a,1,3.8115605000057258,1.8306864600162953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9665,001,2020_Dec_16_0103,new_STLI_updated,2020.2.10,144.03701173724292,
LZ_noise\LZ_noise_195.jpg,LZ_noise\LZ_noise_173.jpg,LZ_noise\LZ_noise_119.jpg,LZ_noise\LZ_noise_85.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_noise\LZ_noise_102.jpg,0,l,3,31,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,41.520930200000294,None,42.595437200012384,45.96723430001293,45.96723430001293,None,45.96723430001293,None,45.96723430001293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9665,001,2020_Dec_16_0103,new_STLI_updated,2020.2.10,144.03701173724292,
LZ_noise\LZ_noise_195.jpg,LZ_noise\LZ_noise_173.jpg,LZ_noise\LZ_noise_119.jpg,LZ_noise\LZ_noise_85.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_noise\LZ_noise_102.jpg,0,l,3,31,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.82767510000849,47.83330110000679,47.824769099999685,None,l,1,1.9132022999983747,1.0049828400078695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9665,001,2020_Dec_16_0103,new_STLI_updated,2020.2.10,144.03701173724292,
LZ_natural\LZ_natural_173.jpg,LZ_natural\LZ_natural_79.jpg,LZ_natural\LZ_natural_35.jpg,LZ_natural\LZ_natural_143.jpg,LZ_natural\LZ_natural_39.jpg,LZ_natural\LZ_natural_25.jpg,LZ_natural\LZ_natural_206.jpg,LZ_natural\LZ_natural_80.jpg,LZ_natural\LZ_natural_112.jpg,LZ_natural\LZ_natural_235.jpg,LZ_natural\LZ_natural_115.jpg,LZ_natural\LZ_natural_207.jpg,None,None,None,None,3,LZ_natural\LZ_natural_206.jpg,1,a,1,13,0,2,2,2,,,,,,,,,0,0,0,0,,,,,,,49.74746119999327,None,,,,,,,,,,,,,,,,,,50.89507430000231,51.19944799999939,51.23471940000309,51.53937449998921,51.58194890001323,51.887051099998644,51.88097349999589,52.18545560000348,52.234370199992554,52.53956199999084,52.581769399985205,52.887393699988024,52.88058940001065,53.18563940000604,53.234396299987566,53.539407500007655,53.58161399999517,53.887126899993746,53.88073519998579,54.18515390000539,54.234797199984314,54.53930860001128,54.58183439998538,None,,,,,,,,,,,,,,,,,9665,001,2020_Dec_16_0103,new_STLI_updated,2020.2.10,144.03701173724292,
LZ_natural\LZ_natural_173.jpg,LZ_natural\LZ_natural_79.jpg,LZ_natural\LZ_natural_35.jpg,LZ_natural\LZ_natural_143.jpg,LZ_natural\LZ_natural_39.jpg,LZ_natural\LZ_natural_25.jpg,LZ_natural\LZ_natural_206.jpg,LZ_natural\LZ_natural_80.jpg,LZ_natural\LZ_natural_112.jpg,LZ_natural\LZ_natural_235.jpg,LZ_natural\LZ_natural_115.jpg,LZ_natural\LZ_natural_207.jpg,None,None,None,None,3,LZ_natural\LZ_natural_206.jpg,1,a,1,13,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.751759200007655,55.75808400000096,55.74881789999199,None,a,1,1.0291382000141311,1.003395739971893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9665,001,2020_Dec_16_0103,new_STLI_updated,2020.2.10,144.03701173724292,
LZ_scrambled\LZ_scrambled_13.jpg,LZ_scrambled\LZ_scrambled_234.jpg,LZ_scrambled\LZ_scrambled_21.jpg,LZ_scrambled\LZ_scrambled_208.jpg,LZ_scrambled\LZ_scrambled_189.jpg,LZ_scrambled\LZ_scrambled_29.jpg,LZ_scrambled\LZ_scrambled_117.jpg,LZ_scrambled\LZ_scrambled_54.jpg,LZ_scrambled\LZ_scrambled_198.jpg,LZ_scrambled\LZ_scrambled_222.jpg,LZ_scrambled\LZ_scrambled_126.jpg,LZ_scrambled\LZ_scrambled_180.jpg,None,None,None,None,3,LZ_scrambled\LZ_scrambled_96.jpg,0,l,2,23,0,3,3,3,,,,,,,,,0,0,0,0,,,,,,,56.78760650000186,None,,,,,,,,,,,,,,,,,,58.22364650000236,58.525860299996566,58.561430700006895,58.86588649998885,58.90837200000533,59.213812300004065,59.20773180000833,59.511868000001414,59.56119670000044,59.865982099989196,59.908280500007095,60.213857599999756,60.20760540000629,60.511940800002776,60.56115080000018,60.866238499991596,60.90865749999648,61.21371199999703,61.20768510000198,61.51217450000695,61.56132509998861,None,None,None,,,,,,,,,,,,,,,,,9665,001,2020_Dec_16_0103,new_STLI_updated,2020.2.10,144.03701173724292,
LZ_scrambled\LZ_scrambled_13.jpg,LZ_scrambled\LZ_scrambled_234.jpg,LZ_scrambled\LZ_scrambled_21.jpg,LZ_scrambled\LZ_scrambled_208.jpg,LZ_scrambled\LZ_scrambled_189.jpg,LZ_scrambled\LZ_scrambled_29.jpg,LZ_scrambled\LZ_scrambled_117.jpg,LZ_scrambled\LZ_scrambled_54.jpg,LZ_scrambled\LZ_scrambled_198.jpg,LZ_scrambled\LZ_scrambled_222.jpg,LZ_scrambled\LZ_scrambled_126.jpg,LZ_scrambled\LZ_scrambled_180.jpg,None,None,None,None,3,LZ_scrambled\LZ_scrambled_96.jpg,0,l,2,23,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8208464999916,62.826791200001026,62.81805840000743,None,a,0,1.0156651000143029,1.0054589000355918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9665,001,2020_Dec_16_0103,new_STLI_updated,2020.2.10,144.03701173724292,
LZ_scrambled\LZ_scrambled_95.jpg,LZ_scrambled\LZ_scrambled_45.jpg,LZ_scrambled\LZ_scrambled_105.jpg,LZ_scrambled\LZ_scrambled_100.jpg,LZ_scrambled\LZ_scrambled_69.jpg,LZ_scrambled\LZ_scrambled_120.jpg,LZ_scrambled\LZ_scrambled_131.jpg,LZ_scrambled\LZ_scrambled_68.jpg,None,None,None,None,None,None,None,None,2,LZ_scrambled\LZ_scrambled_131.jpg,1,a,2,22,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,63.849848599988036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.09763319999911,65.54688370000804,65.58940009999787,66.03950340001029,66.0895431000099,66.53994849999435,66.58949280000525,67.03998760000104,67.0893941000104,67.53990939998766,67.58994149998762,68.03990860001068,68.08919950001291,68.53995450001094,68.58935439999914,None,9665,001,2020_Dec_16_0103,new_STLI_updated,2020.2.10,144.03701173724292,
LZ_scrambled\LZ_scrambled_95.jpg,LZ_scrambled\LZ_scrambled_45.jpg,LZ_scrambled\LZ_scrambled_105.jpg,LZ_scrambled\LZ_scrambled_100.jpg,LZ_scrambled\LZ_scrambled_69.jpg,LZ_scrambled\LZ_scrambled_120.jpg,LZ_scrambled\LZ_scrambled_131.jpg,LZ_scrambled\LZ_scrambled_68.jpg,None,None,None,None,None,None,None,None,2,LZ_scrambled\LZ_scrambled_131.jpg,1,a,2,22,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8256834000058,69.8261698000133,69.81831040000543,None,a,1,1.247190900001442,1.0016266599996015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9665,001,2020_Dec_16_0103,new_STLI_updated,2020.2.10,144.03701173724292,
