imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,fone_control_b1.thisRepN,fone_control_b1.thisTrialN,fone_control_b1.thisN,fone_control_b1.thisIndex,ftwo_control_b1.thisRepN,ftwo_control_b1.thisTrialN,ftwo_control_b1.thisN,ftwo_control_b1.thisIndex,fthree_control_b1.thisRepN,fthree_control_b1.thisTrialN,fthree_control_b1.thisN,fthree_control_b1.thisIndex,block_two.thisRepN,block_two.thisTrialN,block_two.thisN,block_two.thisIndex,fone_control_b2.thisRepN,fone_control_b2.thisTrialN,fone_control_b2.thisN,fone_control_b2.thisIndex,text.started,text.stopped,Crossm.started,Crossm.stopped,Presentation_image_f1_1.started,Presentation_image_f1_1.stopped,Presentation_image_f1_2.started,Presentation_image_f1_2.stopped,Presentation_image_f1_3.started,Presentation_image_f1_3.stopped,Presentation_image_f1_4.started,Presentation_image_f1_4.stopped,Fixation_cross.started,Fixation_cross.stopped,displayed_choice_image.started,displayed_choice_image.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Presentation_image_f2_1.started,Presentation_image_f2_1.stopped,Presentation_image_f2_2.started,Presentation_image_f2_2.stopped,Presentation_image_f2_3.started,Presentation_image_f2_3.stopped,Presentation_image_f2_4.started,Presentation_image_f2_4.stopped,Presentation_image_f2_5.started,Presentation_image_f2_5.stopped,Presentation_image_f2_6.started,Presentation_image_f2_6.stopped,Presentation_image_f2_7.started,Presentation_image_f2_7.stopped,Presentation_image_f2_8.started,Presentation_image_f2_8.stopped,Presentation_image_f3_1.started,Presentation_image_f3_1.stopped,Presentation_image_f3_2.started,Presentation_image_f3_2.stopped,Presentation_image_f3_3.started,Presentation_image_f3_3.stopped,Presentation_image_f3_4.started,Presentation_image_f3_4.stopped,Presentation_image_f3_5.started,Presentation_image_f3_5.stopped,Presentation_image_f3_6.started,Presentation_image_f3_6.stopped,Presentation_image_f3_7.started,Presentation_image_f3_7.stopped,Presentation_image_f3_8.started,Presentation_image_f3_8.stopped,Presentation_image_f3_9.started,Presentation_image_f3_9.stopped,Presentation_image_f3_10.started,Presentation_image_f3_10.stopped,Presentation_image_f3_11.started,Presentation_image_f3_11.stopped,Presentation_image_f3_12.started,Presentation_image_f3_12.stopped,perf_review_accuracyval.started,perf_review_accuracyval.stopped,perf_key_resp_3.keys,perf_key_resp_3.rt,perf_key_resp_3.started,perf_key_resp_3.stopped,text_3.started,text_3.stopped,text_break.started,text_break.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_natural\LZ_natural_191.jpg,LZ_natural\LZ_natural_103.jpg,LZ_natural\LZ_natural_43.jpg,LZ_natural\LZ_natural_142.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_103.jpg,1,a,1,11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8.298819499992533,None,9.386114199995063,None,10.40362389999791,11.40445610001916,11.387807299994165,12.388666000013473,12.388666000013473,13.389544600009685,13.389544600009685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_191.jpg,LZ_natural\LZ_natural_103.jpg,LZ_natural\LZ_natural_43.jpg,LZ_natural\LZ_natural_142.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_103.jpg,1,a,1,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.37368710001465,15.374573400011286,15.374573400011286,None,a,1,0.5624052000057418,1.0120291799830738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_230.jpg,LZ_natural\LZ_natural_122.jpg,LZ_natural\LZ_natural_220.jpg,LZ_natural\LZ_natural_155.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_122.jpg,1,a,1,11,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,15.958406899997499,None,16.975857800018275,17.97763420001138,17.960091699991608,18.960895399999572,18.960895399999572,19.961678299994674,19.961678299994674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_230.jpg,LZ_natural\LZ_natural_122.jpg,LZ_natural\LZ_natural_220.jpg,LZ_natural\LZ_natural_155.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_122.jpg,1,a,1,11,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.979393200017512,21.980244300008053,21.963555800000904,None,a,1,0.9104475000058301,1.009925780002959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_102.jpg,LZ_natural\LZ_natural_164.jpg,LZ_natural\LZ_natural_63.jpg,LZ_natural\LZ_natural_2.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_102.jpg,1,a,1,11,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,22.897607699997025,None,23.915137400006643,24.915964000014355,24.89931730000535,25.900101600011112,25.900101600011112,26.900918800005456,26.900918800005456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_102.jpg,LZ_natural\LZ_natural_164.jpg,LZ_natural\LZ_natural_63.jpg,LZ_natural\LZ_natural_2.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_102.jpg,1,a,1,11,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.918430299992906,28.919262500014156,28.902560699993046,None,a,1,0.7323075000022072,1.009529980015941,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_158.jpg,LZ_natural\LZ_natural_83.jpg,LZ_natural\LZ_natural_187.jpg,LZ_natural\LZ_natural_123.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_83.jpg,1,a,1,11,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,29.65317239999422,None,30.670695800014073,31.671532700012904,31.65615729999263,32.65563409999595,32.65563409999595,33.6564217999985,33.6564217999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_158.jpg,LZ_natural\LZ_natural_83.jpg,LZ_natural\LZ_natural_187.jpg,LZ_natural\LZ_natural_123.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_83.jpg,1,a,1,11,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.67392249999102,35.67479089999688,35.6581206000119,None,l,0,0.7527078999846708,1.009679379989393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_111.jpg,LZ_natural\LZ_natural_192.jpg,LZ_natural\LZ_natural_170.jpg,LZ_natural\LZ_natural_154.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_8.jpg,0,l,1,11,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,36.442078199994285,None,37.45960760000162,38.46045710000908,38.443726700003026,39.44456870001159,39.44456870001159,40.44535009999527,40.44535009999527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_111.jpg,LZ_natural\LZ_natural_192.jpg,LZ_natural\LZ_natural_170.jpg,LZ_natural\LZ_natural_154.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_8.jpg,0,l,1,11,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.46285330000683,42.46368300000904,42.44701140001416,None,l,1,0.2136445000069216,1.009681979980087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
