n,Presentation_image_f3_1.started_mean,Presentation_image_f3_1.started_raw,Presentation_image_f3_1.started_std,Presentation_image_f3_1.stopped_mean,Presentation_image_f3_1.stopped_raw,Presentation_image_f3_1.stopped_std,Presentation_image_f3_10.started_mean,Presentation_image_f3_10.started_raw,Presentation_image_f3_10.started_std,Presentation_image_f3_10.stopped_mean,Presentation_image_f3_10.stopped_raw,Presentation_image_f3_10.stopped_std,Presentation_image_f3_11.started_mean,Presentation_image_f3_11.started_raw,Presentation_image_f3_11.started_std,Presentation_image_f3_11.stopped_mean,Presentation_image_f3_11.stopped_raw,Presentation_image_f3_11.stopped_std,Presentation_image_f3_12.started_mean,Presentation_image_f3_12.started_raw,Presentation_image_f3_12.started_std,Presentation_image_f3_12.stopped_raw,Presentation_image_f3_2.started_mean,Presentation_image_f3_2.started_raw,Presentation_image_f3_2.started_std,Presentation_image_f3_2.stopped_mean,Presentation_image_f3_2.stopped_raw,Presentation_image_f3_2.stopped_std,Presentation_image_f3_3.started_mean,Presentation_image_f3_3.started_raw,Presentation_image_f3_3.started_std,Presentation_image_f3_3.stopped_mean,Presentation_image_f3_3.stopped_raw,Presentation_image_f3_3.stopped_std,Presentation_image_f3_4.started_mean,Presentation_image_f3_4.started_raw,Presentation_image_f3_4.started_std,Presentation_image_f3_4.stopped_mean,Presentation_image_f3_4.stopped_raw,Presentation_image_f3_4.stopped_std,Presentation_image_f3_5.started_mean,Presentation_image_f3_5.started_raw,Presentation_image_f3_5.started_std,Presentation_image_f3_5.stopped_mean,Presentation_image_f3_5.stopped_raw,Presentation_image_f3_5.stopped_std,Presentation_image_f3_6.started_mean,Presentation_image_f3_6.started_raw,Presentation_image_f3_6.started_std,Presentation_image_f3_6.stopped_mean,Presentation_image_f3_6.stopped_raw,Presentation_image_f3_6.stopped_std,Presentation_image_f3_7.started_mean,Presentation_image_f3_7.started_raw,Presentation_image_f3_7.started_std,Presentation_image_f3_7.stopped_mean,Presentation_image_f3_7.stopped_raw,Presentation_image_f3_7.stopped_std,Presentation_image_f3_8.started_mean,Presentation_image_f3_8.started_raw,Presentation_image_f3_8.started_std,Presentation_image_f3_8.stopped_mean,Presentation_image_f3_8.stopped_raw,Presentation_image_f3_8.stopped_std,Presentation_image_f3_9.started_mean,Presentation_image_f3_9.started_raw,Presentation_image_f3_9.started_std,Presentation_image_f3_9.stopped_mean,Presentation_image_f3_9.stopped_raw,Presentation_image_f3_9.stopped_std,order
1.0,102.93025970458984,102.93025970458984,0.0,103.23017883300781,103.23017883300781,0.0,105.91570281982422,105.91570281982422,0.0,106.2159423828125,106.2159423828125,0.0,106.2659912109375,106.2659912109375,0.0,106.56624603271484,106.56624603271484,0.0,106.61627960205078,106.61627960205078,0.0,,103.26354217529297,103.26354217529297,0.0,103.56377410888672,103.56377410888672,0.0,103.61383056640625,103.61383056640625,0.0,103.91404724121094,103.91404724121094,0.0,103.91404724121094,103.91404724121094,0.0,104.21434020996094,104.21434020996094,0.0,104.26437377929688,104.26437377929688,0.0,104.56462860107422,104.56462860107422,0.0,104.61465454101562,104.61465454101562,0.0,104.91488647460938,104.91488647460938,0.0,104.91488647460938,104.91488647460938,0.0,105.21514892578125,105.21514892578125,0.0,105.26516723632812,105.26516723632812,0.0,105.5654296875,105.5654296875,0.0,105.61549377441406,105.61549377441406,0.0,105.91570281982422,105.91570281982422,0.0,0.0

extraInfo
participant,
session,001
date,2020_Dec_16_1605
expName,new_STLI_practise
psychopyVersion,2020.2.10
frameRate,59.96156464455615
﻿n,Presentation_image_f3_1.started_mean,Presentation_image_f3_1.started_raw,Presentation_image_f3_1.started_std,Presentation_image_f3_1.stopped_mean,Presentation_image_f3_1.stopped_raw,Presentation_image_f3_1.stopped_std,Presentation_image_f3_10.started_mean,Presentation_image_f3_10.started_raw,Presentation_image_f3_10.started_std,Presentation_image_f3_10.stopped_mean,Presentation_image_f3_10.stopped_raw,Presentation_image_f3_10.stopped_std,Presentation_image_f3_11.started_mean,Presentation_image_f3_11.started_raw,Presentation_image_f3_11.started_std,Presentation_image_f3_11.stopped_mean,Presentation_image_f3_11.stopped_raw,Presentation_image_f3_11.stopped_std,Presentation_image_f3_12.started_mean,Presentation_image_f3_12.started_raw,Presentation_image_f3_12.started_std,Presentation_image_f3_12.stopped_raw,Presentation_image_f3_2.started_mean,Presentation_image_f3_2.started_raw,Presentation_image_f3_2.started_std,Presentation_image_f3_2.stopped_mean,Presentation_image_f3_2.stopped_raw,Presentation_image_f3_2.stopped_std,Presentation_image_f3_3.started_mean,Presentation_image_f3_3.started_raw,Presentation_image_f3_3.started_std,Presentation_image_f3_3.stopped_mean,Presentation_image_f3_3.stopped_raw,Presentation_image_f3_3.stopped_std,Presentation_image_f3_4.started_mean,Presentation_image_f3_4.started_raw,Presentation_image_f3_4.started_std,Presentation_image_f3_4.stopped_mean,Presentation_image_f3_4.stopped_raw,Presentation_image_f3_4.stopped_std,Presentation_image_f3_5.started_mean,Presentation_image_f3_5.started_raw,Presentation_image_f3_5.started_std,Presentation_image_f3_5.stopped_mean,Presentation_image_f3_5.stopped_raw,Presentation_image_f3_5.stopped_std,Presentation_image_f3_6.started_mean,Presentation_image_f3_6.started_raw,Presentation_image_f3_6.started_std,Presentation_image_f3_6.stopped_mean,Presentation_image_f3_6.stopped_raw,Presentation_image_f3_6.stopped_std,Presentation_image_f3_7.started_mean,Presentation_image_f3_7.started_raw,Presentation_image_f3_7.started_std,Presentation_image_f3_7.stopped_mean,Presentation_image_f3_7.stopped_raw,Presentation_image_f3_7.stopped_std,Presentation_image_f3_8.started_mean,Presentation_image_f3_8.started_raw,Presentation_image_f3_8.started_std,Presentation_image_f3_8.stopped_mean,Presentation_image_f3_8.stopped_raw,Presentation_image_f3_8.stopped_std,Presentation_image_f3_9.started_mean,Presentation_image_f3_9.started_raw,Presentation_image_f3_9.started_std,Presentation_image_f3_9.stopped_mean,Presentation_image_f3_9.stopped_raw,Presentation_image_f3_9.stopped_std,order
1.0,109.38521575927734,109.38521575927734,0.0,109.68547058105469,109.68547058105469,0.0,112.37100219726562,112.37100219726562,0.0,112.67125701904297,112.67125701904297,0.0,112.7212905883789,112.7212905883789,0.0,113.02152252197266,113.02152252197266,0.0,113.07156372070312,113.07156372070312,0.0,,109.7188720703125,109.7188720703125,0.0,110.01908874511719,110.01908874511719,0.0,110.07130432128906,110.07130432128906,0.0,110.38604736328125,110.38604736328125,0.0,110.3694076538086,110.3694076538086,0.0,110.67090606689453,110.67090606689453,0.0,110.71965789794922,110.71965789794922,0.0,111.0198974609375,111.0198974609375,0.0,111.06996154785156,111.06996154785156,0.0,111.37017822265625,111.37017822265625,0.0,111.37017822265625,111.37017822265625,0.0,111.67042541503906,111.67042541503906,0.0,111.72047424316406,111.72047424316406,0.0,112.02070617675781,112.02070617675781,0.0,112.07080078125,112.07080078125,0.0,112.37100219726562,112.37100219726562,0.0,0.0

extraInfo
