imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,fone_control_b1.thisRepN,fone_control_b1.thisTrialN,fone_control_b1.thisN,fone_control_b1.thisIndex,ftwo_control_b1.thisRepN,ftwo_control_b1.thisTrialN,ftwo_control_b1.thisN,ftwo_control_b1.thisIndex,fthree_control_b1.thisRepN,fthree_control_b1.thisTrialN,fthree_control_b1.thisN,fthree_control_b1.thisIndex,text.started,text.stopped,Crossm.started,Crossm.stopped,Presentation_image_f1_1.started,Presentation_image_f1_1.stopped,Presentation_image_f1_2.started,Presentation_image_f1_2.stopped,Presentation_image_f1_3.started,Presentation_image_f1_3.stopped,Presentation_image_f1_4.started,Presentation_image_f1_4.stopped,Fixation_cross.started,Fixation_cross.stopped,displayed_choice_image.started,displayed_choice_image.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Presentation_image_f2_1.started,Presentation_image_f2_1.stopped,Presentation_image_f2_2.started,Presentation_image_f2_2.stopped,Presentation_image_f2_3.started,Presentation_image_f2_3.stopped,Presentation_image_f2_4.started,Presentation_image_f2_4.stopped,Presentation_image_f2_5.started,Presentation_image_f2_5.stopped,Presentation_image_f2_6.started,Presentation_image_f2_6.stopped,Presentation_image_f2_7.started,Presentation_image_f2_7.stopped,Presentation_image_f2_8.started,Presentation_image_f2_8.stopped,Presentation_image_f3_1.started,Presentation_image_f3_1.stopped,Presentation_image_f3_2.started,Presentation_image_f3_2.stopped,Presentation_image_f3_3.started,Presentation_image_f3_3.stopped,Presentation_image_f3_4.started,Presentation_image_f3_4.stopped,Presentation_image_f3_5.started,Presentation_image_f3_5.stopped,Presentation_image_f3_6.started,Presentation_image_f3_6.stopped,Presentation_image_f3_7.started,Presentation_image_f3_7.stopped,Presentation_image_f3_8.started,Presentation_image_f3_8.stopped,Presentation_image_f3_9.started,Presentation_image_f3_9.stopped,Presentation_image_f3_10.started,Presentation_image_f3_10.stopped,Presentation_image_f3_11.started,Presentation_image_f3_11.stopped,Presentation_image_f3_12.started,Presentation_image_f3_12.stopped,perf_review_accuracyval.started,perf_review_accuracyval.stopped,perf_key_resp_3.keys,perf_key_resp_3.rt,perf_key_resp_3.started,perf_key_resp_3.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_natural\LZ_natural_191.jpg,LZ_natural\LZ_natural_103.jpg,LZ_natural\LZ_natural_43.jpg,LZ_natural\LZ_natural_142.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_103.jpg,1,a,1,11,0,0,0,0,,,,,,,,,,,,,23.298123399959877,None,24.741354199999478,None,25.718153199995868,26.723336499999277,26.689344899961725,27.68902839999646,27.68902839999646,28.688864599971566,28.688864599971566,None,29.65201389999129,30.655549699964467,30.64728539995849,None,a,1,0.3020346999983303,1.0006499500013888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1732,new_STLI_practise_natural,2020.2.10,143.92672401788164,
LZ_natural\LZ_natural_230.jpg,LZ_natural\LZ_natural_122.jpg,LZ_natural\LZ_natural_220.jpg,LZ_natural\LZ_natural_155.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_122.jpg,1,a,1,11,0,1,1,1,,,,,,,,,,,,,,,30.96291189995827,None,31.994877299992368,32.9941977999988,32.98796499997843,33.987553799990565,33.987553799990565,34.98779089999152,34.98779089999152,None,35.97590749996016,36.98080540000228,36.966707599989604,None,a,1,0.7830854000058025,0.99946329992963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1732,new_STLI_practise_natural,2020.2.10,143.92672401788164,
LZ_natural\LZ_natural_102.jpg,LZ_natural\LZ_natural_164.jpg,LZ_natural\LZ_natural_63.jpg,LZ_natural\LZ_natural_2.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_102.jpg,1,a,1,11,0,2,2,2,,,,,,,,,,,,,,,37.76493040000787,None,38.79413840000052,39.79264020000119,39.78631850000238,40.78629690001253,40.78629690001253,41.78627300000517,41.78627300000517,None,42.77352250000695,43.779962999979034,43.77219150000019,None,l,0,1.2258267000433989,1.0064185499795713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1732,new_STLI_practise_natural,2020.2.10,143.92672401788164,
LZ_natural\LZ_natural_158.jpg,LZ_natural\LZ_natural_83.jpg,LZ_natural\LZ_natural_187.jpg,LZ_natural\LZ_natural_123.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_83.jpg,1,a,1,11,0,3,3,3,,,,,,,,,,,,,,,45.01973070000531,None,46.070435900008306,47.07060119998641,47.06443159998162,48.064094999979716,48.064094999979716,49.06415950000519,49.06415950000519,None,50.02337939996505,51.03144749999046,51.02263929997571,None,a,1,0.9819611000129953,1.006399949954357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1732,new_STLI_practise_natural,2020.2.10,143.92672401788164,
LZ_natural\LZ_natural_111.jpg,LZ_natural\LZ_natural_192.jpg,LZ_natural\LZ_natural_170.jpg,LZ_natural\LZ_natural_154.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_8.jpg,0,l,1,11,0,4,4,4,,,,,,,,,,,,,,,52.01975229999516,None,53.04933199996594,54.05022319999989,54.04364290001104,55.043181999993976,55.043181999993976,56.04329379997216,56.04329379997216,None,57.02843830001075,58.03096060000826,58.02254219999304,None,l,1,1.0470410999841988,1.0044703999883495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1732,new_STLI_practise_natural,2020.2.10,143.92672401788164,
LZ_natural\LZ_natural_235.jpg,LZ_natural\LZ_natural_15.jpg,LZ_natural\LZ_natural_38.jpg,LZ_natural\LZ_natural_47.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_141.jpg,0,l,1,11,0,5,5,5,,,,,,,,,,,,,,,59.08206300000893,None,60.11623609997332,61.11955629999284,61.113262599974405,62.1127148999949,62.1127148999949,63.11304859997472,63.11304859997472,None,64.09046350000426,65.09418590000132,65.0850594000076,None,a,0,0.21563310001511127,1.0043324999860488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1732,new_STLI_practise_natural,2020.2.10,143.92672401788164,
LZ_natural\LZ_natural_52.jpg,LZ_natural\LZ_natural_156.jpg,LZ_natural\LZ_natural_50.jpg,LZ_natural\LZ_natural_183.jpg,LZ_natural\LZ_natural_193.jpg,LZ_natural\LZ_natural_18.jpg,LZ_natural\LZ_natural_148.jpg,LZ_natural\LZ_natural_217.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_18.jpg,1,a,1,12,0,6,6,6,,,,,,,,,,,,,,,65.31275839998852,None,,,,,,,,,70.2702341999975,71.27311319997534,71.25862889998825,None,a,1,0.7298008000361733,0.9999266999657266,None,66.39946469996357,66.84826609998709,66.89071750000585,67.3413520999602,67.39059169997927,67.84119720000308,67.89068339997903,68.34133729996393,68.39064950001193,68.84156420000363,68.89066500001354,69.34113909996813,69.39066109998384,69.84156139998231,69.89080629998352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1732,new_STLI_practise_natural,2020.2.10,143.92672401788164,
LZ_natural\LZ_natural_204.jpg,LZ_natural\LZ_natural_74.jpg,LZ_natural\LZ_natural_98.jpg,LZ_natural\LZ_natural_136.jpg,LZ_natural\LZ_natural_229.jpg,LZ_natural\LZ_natural_94.jpg,LZ_natural\LZ_natural_19.jpg,LZ_natural\LZ_natural_134.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_204.jpg,1,a,1,12,0,7,7,7,,,,,,,,,,,,,,,71.99765909998678,None,,,,,,,,,76.95757169998251,77.96198540000478,77.94612460001372,None,a,1,0.7064275000011548,0.9999177000136115,None,73.05942760000471,73.5079429000034,73.55068609997397,74.00141789996997,74.05077079997864,74.5015251999721,74.55011329997797,75.0009683999815,75.05071799998404,75.50149910000619,75.5504104999709,76.00132099998882,76.0507964999997,76.50159609998809,76.55056060000788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1732,new_STLI_practise_natural,2020.2.10,143.92672401788164,
LZ_natural\LZ_natural_55.jpg,LZ_natural\LZ_natural_116.jpg,LZ_natural\LZ_natural_26.jpg,LZ_natural\LZ_natural_77.jpg,LZ_natural\LZ_natural_11.jpg,LZ_natural\LZ_natural_14.jpg,LZ_natural\LZ_natural_207.jpg,LZ_natural\LZ_natural_140.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_60.jpg,0,l,1,12,0,8,8,8,,,,,,,,,,,,,,,78.66515409998829,None,,,,,,,,,83.62640840001404,84.62911019998137,84.62039799999911,None,l,1,0.5529670999967493,1.0033117000130005,None,79.7287961000111,80.18199909996474,80.22403739998117,80.67517379997298,80.7243371999939,81.17482620000374,81.22409539995715,81.67519049998373,81.72444199997699,82.17512749996968,82.22438339999644,82.67499209998641,82.72461189999012,83.17545330000576,83.22434239997528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1732,new_STLI_practise_natural,2020.2.10,143.92672401788164,
LZ_natural\LZ_natural_62.jpg,LZ_natural\LZ_natural_58.jpg,LZ_natural\LZ_natural_175.jpg,LZ_natural\LZ_natural_208.jpg,LZ_natural\LZ_natural_233.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_127.jpg,LZ_natural\LZ_natural_234.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_62.jpg,1,a,1,12,0,9,9,9,,,,,,,,,,,,,,,85.18486909999046,None,,,,,,,,,90.1431639000075,91.14942179998616,91.14084129995899,None,a,1,0.7922182000475004,1.0043700499809347,None,86.24832600000082,86.70280089997686,86.74516150000272,87.19592520000879,87.2450414999621,87.69595039996784,87.7447872000048,88.19613900000695,88.24517859995831,88.69604710000567,88.74497679999331,89.19606340001337,89.24520589999156,89.69575899996562,89.74504499998875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1732,new_STLI_practise_natural,2020.2.10,143.92672401788164,
