imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,fone_control_b1.thisRepN,fone_control_b1.thisTrialN,fone_control_b1.thisN,fone_control_b1.thisIndex,ftwo_control_b1.thisRepN,ftwo_control_b1.thisTrialN,ftwo_control_b1.thisN,ftwo_control_b1.thisIndex,fthree_control_b1.thisRepN,fthree_control_b1.thisTrialN,fthree_control_b1.thisN,fthree_control_b1.thisIndex,text.started,text.stopped,Crossm.started,Crossm.stopped,Presentation_image_f1_1.started,Presentation_image_f1_1.stopped,Presentation_image_f1_2.started,Presentation_image_f1_2.stopped,Presentation_image_f1_3.started,Presentation_image_f1_3.stopped,Presentation_image_f1_4.started,Presentation_image_f1_4.stopped,Fixation_cross.started,Fixation_cross.stopped,displayed_choice_image.started,displayed_choice_image.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Presentation_image_f2_1.started,Presentation_image_f2_1.stopped,Presentation_image_f2_2.started,Presentation_image_f2_2.stopped,Presentation_image_f2_3.started,Presentation_image_f2_3.stopped,Presentation_image_f2_4.started,Presentation_image_f2_4.stopped,Presentation_image_f2_5.started,Presentation_image_f2_5.stopped,Presentation_image_f2_6.started,Presentation_image_f2_6.stopped,Presentation_image_f2_7.started,Presentation_image_f2_7.stopped,Presentation_image_f2_8.started,Presentation_image_f2_8.stopped,Presentation_image_f3_1.started,Presentation_image_f3_1.stopped,Presentation_image_f3_2.started,Presentation_image_f3_2.stopped,Presentation_image_f3_3.started,Presentation_image_f3_3.stopped,Presentation_image_f3_4.started,Presentation_image_f3_4.stopped,Presentation_image_f3_5.started,Presentation_image_f3_5.stopped,Presentation_image_f3_6.started,Presentation_image_f3_6.stopped,Presentation_image_f3_7.started,Presentation_image_f3_7.stopped,Presentation_image_f3_8.started,Presentation_image_f3_8.stopped,Presentation_image_f3_9.started,Presentation_image_f3_9.stopped,Presentation_image_f3_10.started,Presentation_image_f3_10.stopped,Presentation_image_f3_11.started,Presentation_image_f3_11.stopped,Presentation_image_f3_12.started,Presentation_image_f3_12.stopped,perf_review_accuracyval.started,perf_review_accuracyval.stopped,perf_key_resp_3.keys,perf_key_resp_3.rt,perf_key_resp_3.started,perf_key_resp_3.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_noise\LZ_noise_32.jpg,LZ_noise\LZ_noise_128.jpg,LZ_noise\LZ_noise_138.jpg,LZ_noise\LZ_noise_123.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_noise\LZ_noise_138.jpg,1,a,3,31,0,0,0,0,,,,,,,,,,,,,10.314316599979065,None,13.890889399976004,None,14.950381100003142,15.951948500005528,15.924734000000171,16.92432530003134,16.92432530003134,17.924353900016285,17.924353900016285,None,18.876367099990603,19.88358770002378,19.87727779999841,None,l,0,0.6173859999980778,0.9990245699300431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1700,new_STLI_practise_noise,2020.2.10,143.98537116263367,
LZ_noise\LZ_noise_7.jpg,LZ_noise\LZ_noise_22.jpg,LZ_noise\LZ_noise_120.jpg,LZ_noise\LZ_noise_172.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_noise\LZ_noise_174.jpg,0,l,3,31,0,1,1,1,,,,,,,,,,,,,,,20.501201100007165,None,21.539036399975885,22.542347599985078,22.535897199995816,23.53546709998045,23.53546709998045,24.535502700018696,24.535502700018696,None,25.516161300009117,26.523024199996144,26.507753900019452,None,l,1,0.4975294999894686,0.9996142399613746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1700,new_STLI_practise_noise,2020.2.10,143.98537116263367,
LZ_noise\LZ_noise_142.jpg,LZ_noise\LZ_noise_9.jpg,LZ_noise\LZ_noise_216.jpg,LZ_noise\LZ_noise_225.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_noise\LZ_noise_216.jpg,1,a,3,31,0,2,2,2,,,,,,,,,,,,,,,27.01874610001687,None,28.051284899993334,29.05630390002625,29.042976500000805,30.042552200029604,30.042552200029604,31.042515499982983,31.042515499982983,None,32.02332859998569,33.03059229999781,33.02197340002749,None,a,1,1.0714985000086017,1.0060385699616745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1700,new_STLI_practise_noise,2020.2.10,143.98537116263367,
LZ_noise\LZ_noise_97.jpg,LZ_noise\LZ_noise_92.jpg,LZ_noise\LZ_noise_82.jpg,LZ_noise\LZ_noise_223.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_noise\LZ_noise_97.jpg,1,a,3,31,0,3,3,3,,,,,,,,,,,,,,,34.101500699995086,None,35.14113170001656,36.139746300003026,36.13329219998559,37.132908100029454,37.132908100029454,38.13292360003106,38.13292360003106,None,39.10643420001725,40.11373380001169,40.105179200007115,None,l,0,0.7003415999934077,1.0059031700366177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1700,new_STLI_practise_noise,2020.2.10,143.98537116263367,
LZ_noise\LZ_noise_161.jpg,LZ_noise\LZ_noise_33.jpg,LZ_noise\LZ_noise_105.jpg,LZ_noise\LZ_noise_121.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_noise\LZ_noise_33.jpg,1,a,3,31,0,4,4,4,,,,,,,,,,,,,,,40.818838400009554,None,41.8516294999863,42.85510179999983,42.84862030000659,43.84825009998167,43.84825009998167,44.84828310000012,44.84828310000012,None,45.829409900004975,46.83657420001691,46.827472599979956,None,l,0,0.8739722999744117,1.0056263700244017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1700,new_STLI_practise_noise,2020.2.10,143.98537116263367,
LZ_noise\LZ_noise_99.jpg,LZ_noise\LZ_noise_207.jpg,LZ_noise\LZ_noise_154.jpg,LZ_noise\LZ_noise_170.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_noise\LZ_noise_154.jpg,1,a,3,31,0,5,5,5,,,,,,,,,,,,,,,47.71542810002575,None,48.746656799979974,49.751017300004605,49.74458070000401,50.744188599986956,50.744188599986956,51.74419170001056,51.74419170001056,None,52.725093899993226,53.73178909998387,53.72337199997855,None,a,1,0.8579370999941602,1.0059059700579382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1700,new_STLI_practise_noise,2020.2.10,143.98537116263367,
LZ_noise\LZ_noise_98.jpg,LZ_noise\LZ_noise_173.jpg,LZ_noise\LZ_noise_62.jpg,LZ_noise\LZ_noise_201.jpg,LZ_noise\LZ_noise_126.jpg,LZ_noise\LZ_noise_144.jpg,LZ_noise\LZ_noise_53.jpg,LZ_noise\LZ_noise_212.jpg,None,None,None,None,None,None,None,None,2,LZ_noise\LZ_noise_62.jpg,1,a,3,32,0,6,6,6,,,,,,,,,,,,,,,54.59593820001464,None,,,,,,,,,59.55155219999142,60.55879630002892,60.549875999975484,None,l,0,0.5990482000051998,1.00508107006317,None,55.69020710000768,56.13990690000355,56.18179449997842,56.632590499997605,56.68182800000068,57.132605999999214,57.182013700017706,57.63261540001258,57.6818400999764,58.13265709998086,58.18187149998266,58.63263770000776,58.68186469998909,59.13264030002756,59.181857699994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1700,new_STLI_practise_noise,2020.2.10,143.98537116263367,
LZ_noise\LZ_noise_79.jpg,LZ_noise\LZ_noise_165.jpg,LZ_noise\LZ_noise_196.jpg,LZ_noise\LZ_noise_171.jpg,LZ_noise\LZ_noise_119.jpg,LZ_noise\LZ_noise_182.jpg,LZ_noise\LZ_noise_191.jpg,LZ_noise\LZ_noise_39.jpg,None,None,None,None,None,None,None,None,2,LZ_noise\LZ_noise_196.jpg,1,a,3,32,0,7,7,7,,,,,,,,,,,,,,,61.16445929999463,None,,,,,,,,,66.12080029997742,67.12760519998847,67.11940989998402,None,l,0,0.8377656999509782,1.0051536700339057,None,62.23078739998164,62.6812797000166,62.723474800004624,63.17449489998398,63.223708699981216,63.67435869999463,63.723483700014185,64.17436509998515,64.22348849999253,64.67439739999827,64.72351119999075,65.17431309999665,65.22348929999862,65.6743831000058,65.72357470000861,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1700,new_STLI_practise_noise,2020.2.10,143.98537116263367,
LZ_noise\LZ_noise_197.jpg,LZ_noise\LZ_noise_230.jpg,LZ_noise\LZ_noise_156.jpg,LZ_noise\LZ_noise_149.jpg,LZ_noise\LZ_noise_203.jpg,LZ_noise\LZ_noise_215.jpg,LZ_noise\LZ_noise_210.jpg,LZ_noise\LZ_noise_219.jpg,None,None,None,None,None,None,None,None,2,LZ_noise\LZ_noise_197.jpg,1,a,3,32,0,8,8,8,,,,,,,,,,,,,,,67.96646630001487,None,,,,,,,,,72.93065210001078,73.93357839999953,73.92507499997737,None,l,0,1.1121859999839216,1.0048226400394924,None,69.02731749997474,69.48005130002275,69.52216019999469,69.97311880002962,70.02224740001839,70.47301339998376,70.52234329999192,70.97306689998368,71.02226920000976,71.47310750000179,71.52234610001324,71.9730833999929,72.02221850003116,72.47305349999806,72.52230990002863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1700,new_STLI_practise_noise,2020.2.10,143.98537116263367,
LZ_noise\LZ_noise_199.jpg,LZ_noise\LZ_noise_137.jpg,LZ_noise\LZ_noise_93.jpg,LZ_noise\LZ_noise_5.jpg,LZ_noise\LZ_noise_163.jpg,LZ_noise\LZ_noise_84.jpg,LZ_noise\LZ_noise_46.jpg,LZ_noise\LZ_noise_114.jpg,None,None,None,None,None,None,None,None,2,LZ_noise\LZ_noise_84.jpg,1,a,3,32,0,9,9,9,,,,,,,,,,,,,,,75.05022829998052,None,,,,,,,,,80.01032459997805,81.01680729998043,81.00845379999373,None,a,1,1.3647065999684855,1.0050794700509869,None,76.11723540001549,76.57034889998613,76.60560449998593,77.05649099999573,77.10560680000344,77.5565065999981,77.60564309998881,78.05651450000005,78.1056760000065,78.55650210002204,78.60561859997688,79.05650940001942,79.10563180001918,79.55650880001485,79.60565899999347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1700,new_STLI_practise_noise,2020.2.10,143.98537116263367,
