imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,fone_control_b1.thisRepN,fone_control_b1.thisTrialN,fone_control_b1.thisN,fone_control_b1.thisIndex,ftwo_control_b1.thisRepN,ftwo_control_b1.thisTrialN,ftwo_control_b1.thisN,ftwo_control_b1.thisIndex,fthree_control_b1.thisRepN,fthree_control_b1.thisTrialN,fthree_control_b1.thisN,fthree_control_b1.thisIndex,ffour_control_b1.thisRepN,ffour_control_b1.thisTrialN,ffour_control_b1.thisN,ffour_control_b1.thisIndex,block_two.thisRepN,block_two.thisTrialN,block_two.thisN,block_two.thisIndex,fone_control_b2.thisRepN,fone_control_b2.thisTrialN,fone_control_b2.thisN,fone_control_b2.thisIndex,ftwo_control_b2.thisRepN,ftwo_control_b2.thisTrialN,ftwo_control_b2.thisN,ftwo_control_b2.thisIndex,fthree_control_b2.thisRepN,fthree_control_b2.thisTrialN,fthree_control_b2.thisN,fthree_control_b2.thisIndex,ffour_control_b2.thisRepN,ffour_control_b2.thisTrialN,ffour_control_b2.thisN,ffour_control_b2.thisIndex,text.started,text.stopped,Crossm.started,Crossm.stopped,Presentation_image_f1_1.started,Presentation_image_f1_1.stopped,Presentation_image_f1_2.started,Presentation_image_f1_2.stopped,Presentation_image_f1_3.started,Presentation_image_f1_3.stopped,Presentation_image_f1_4.started,Presentation_image_f1_4.stopped,Fixation_cross.started,Fixation_cross.stopped,displayed_choice_image.started,displayed_choice_image.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Presentation_image_f3_1.started,Presentation_image_f3_1.stopped,Presentation_image_f3_2.started,Presentation_image_f3_2.stopped,Presentation_image_f3_3.started,Presentation_image_f3_3.stopped,Presentation_image_f3_4.started,Presentation_image_f3_4.stopped,Presentation_image_f3_5.started,Presentation_image_f3_5.stopped,Presentation_image_f3_6.started,Presentation_image_f3_6.stopped,Presentation_image_f3_7.started,Presentation_image_f3_7.stopped,Presentation_image_f3_8.started,Presentation_image_f3_8.stopped,Presentation_image_f3_9.started,Presentation_image_f3_9.stopped,Presentation_image_f3_10.started,Presentation_image_f3_10.stopped,Presentation_image_f3_11.started,Presentation_image_f3_11.stopped,Presentation_image_f3_12.started,Presentation_image_f3_12.stopped,Presentation_image_f2_1.started,Presentation_image_f2_1.stopped,Presentation_image_f2_2.started,Presentation_image_f2_2.stopped,Presentation_image_f2_3.started,Presentation_image_f2_3.stopped,Presentation_image_f2_4.started,Presentation_image_f2_4.stopped,Presentation_image_f2_5.started,Presentation_image_f2_5.stopped,Presentation_image_f2_6.started,Presentation_image_f2_6.stopped,Presentation_image_f2_7.started,Presentation_image_f2_7.stopped,Presentation_image_f2_8.started,Presentation_image_f2_8.stopped,text_break.started,text_break.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_scrambled\LZ_scrambled_190.jpg,LZ_scrambled\LZ_scrambled_7.jpg,LZ_scrambled\LZ_scrambled_85.jpg,LZ_scrambled\LZ_scrambled_220.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_scrambled\LZ_scrambled_7.jpg,1,a,2,21,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.262616799969692,None,25.25989099999424,None,26.36101759999292,27.36135949997697,27.334584199998062,28.334205299965106,28.334205299965106,29.334224799997173,29.334224799997173,None,30.219717699976172,31.224835600005463,31.216200999973807,None,a,1,0.9499381999485195,1.0016498999902979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1752,new_STLI_updated,2020.2.10,143.90911861214985,
LZ_noise\LZ_noise_195.jpg,LZ_noise\LZ_noise_173.jpg,LZ_noise\LZ_noise_119.jpg,LZ_noise\LZ_noise_85.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_noise\LZ_noise_102.jpg,0,l,3,31,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.18121110001812,None,33.24061989999609,34.24394850002136,34.23700859997189,35.23670319997473,35.23670319997473,36.23666900000535,36.23666900000535,None,37.19937819999177,38.20371650002198,38.1950190999778,None,l,1,0.9392402000376023,1.0002901999978349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1752,new_STLI_updated,2020.2.10,143.90911861214985,
LZ_natural\LZ_natural_173.jpg,LZ_natural\LZ_natural_79.jpg,LZ_natural\LZ_natural_35.jpg,LZ_natural\LZ_natural_143.jpg,LZ_natural\LZ_natural_39.jpg,LZ_natural\LZ_natural_25.jpg,LZ_natural\LZ_natural_206.jpg,LZ_natural\LZ_natural_80.jpg,LZ_natural\LZ_natural_112.jpg,LZ_natural\LZ_natural_235.jpg,LZ_natural\LZ_natural_115.jpg,LZ_natural\LZ_natural_207.jpg,None,None,None,None,3,LZ_natural\LZ_natural_206.jpg,1,a,1,13,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.144622899999376,None,,,,,,,,,44.153221099986695,45.15457080001943,45.14665559999412,None,l,0,0.6041249000118114,1.0041165000293404,None,40.2293212999939,40.53480369999306,40.57006369996816,40.875217899971176,40.917705399973784,41.22294770000735,41.21681539999554,41.52090080000926,41.57014909997815,41.87526669999352,41.917999500001315,42.22328480001306,42.21672560001025,42.52125420002267,42.570280999992974,42.86813329998404,42.917359700019006,43.22310890001245,43.21663029998308,43.52137179998681,43.570498700020835,43.87547209998593,43.917836599983275,None,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1752,new_STLI_updated,2020.2.10,143.90911861214985,
LZ_scrambled\LZ_scrambled_13.jpg,LZ_scrambled\LZ_scrambled_234.jpg,LZ_scrambled\LZ_scrambled_21.jpg,LZ_scrambled\LZ_scrambled_208.jpg,LZ_scrambled\LZ_scrambled_189.jpg,LZ_scrambled\LZ_scrambled_29.jpg,LZ_scrambled\LZ_scrambled_117.jpg,LZ_scrambled\LZ_scrambled_54.jpg,LZ_scrambled\LZ_scrambled_198.jpg,LZ_scrambled\LZ_scrambled_222.jpg,LZ_scrambled\LZ_scrambled_126.jpg,LZ_scrambled\LZ_scrambled_180.jpg,None,None,None,None,3,LZ_scrambled\LZ_scrambled_96.jpg,0,l,2,23,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.76773969997885,None,,,,,,,,,50.78396640002029,51.78799230000004,51.77201239997521,None,l,1,0.6020413999794982,1.0002478000242263,None,47.08349430002272,47.382308800006285,47.41791889996966,47.72277459996985,47.77223489998141,48.077471799973864,48.07096460001776,48.3753317000228,48.41816210001707,48.722567400021944,48.77224299998488,49.07740130001912,49.0714469999657,49.37533120001899,49.42472379998071,49.72942859999603,49.772051299980376,50.077151499979664,50.07072389998939,50.375640199985355,50.42471380002098,50.72984579997137,None,None,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1752,new_STLI_updated,2020.2.10,143.90911861214985,
LZ_scrambled\LZ_scrambled_95.jpg,LZ_scrambled\LZ_scrambled_45.jpg,LZ_scrambled\LZ_scrambled_105.jpg,LZ_scrambled\LZ_scrambled_100.jpg,LZ_scrambled\LZ_scrambled_69.jpg,LZ_scrambled\LZ_scrambled_120.jpg,LZ_scrambled\LZ_scrambled_131.jpg,LZ_scrambled\LZ_scrambled_68.jpg,None,None,None,None,None,None,None,None,2,LZ_scrambled\LZ_scrambled_131.jpg,1,a,2,22,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.38763549999567,None,,,,,,,,,57.35505249997368,58.35552679997636,58.3485102999839,None,a,1,0.9060280999983661,1.0044828999671154,None,,,,,,,,,,,,,,,,,,,,,,,,,53.54236730001867,53.993693900003564,54.036229000019375,54.486486300011165,54.536063999985345,54.986594500020146,55.036464000004344,55.48675659997389,55.53652379999403,55.98675420001382,56.03728109999793,56.486519999976736,56.53675919998204,56.98672370001441,57.036432900000364,None,,,,001,2020_Dec_17_1752,new_STLI_updated,2020.2.10,143.90911861214985,
LZ_noise\LZ_noise_31.jpg,LZ_noise\LZ_noise_53.jpg,LZ_noise\LZ_noise_231.jpg,LZ_noise\LZ_noise_228.jpg,LZ_noise\LZ_noise_151.jpg,LZ_noise\LZ_noise_68.jpg,LZ_noise\LZ_noise_59.jpg,LZ_noise\LZ_noise_148.jpg,LZ_noise\LZ_noise_163.jpg,LZ_noise\LZ_noise_108.jpg,LZ_noise\LZ_noise_109.jpg,LZ_noise\LZ_noise_146.jpg,None,None,None,None,3,LZ_noise\LZ_noise_140.jpg,0,l,3,33,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26841209997656,None,,,,,,,,,64.28123459999915,65.28695079998579,65.27209149999544,None,a,0,1.99022600002354,1.002060100028757,None,60.439051699999254,60.74364840000635,60.77902570000151,61.08417099999497,61.12637830001768,61.43136499996763,61.42485770001076,61.729937899974175,61.77914649999002,62.08383189997403,62.12646329996642,62.43142189999344,62.42508740001358,62.72998980002012,62.77899899997283,63.08390440000221,63.126082799979486,63.431592600012664,63.425223500002176,63.73000719997799,63.7789687999757,64.08395240001846,64.13311019999674,None,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1752,new_STLI_updated,2020.2.10,143.90911861214985,
LZ_natural\LZ_natural_232.jpg,LZ_natural\LZ_natural_165.jpg,LZ_natural\LZ_natural_46.jpg,LZ_natural\LZ_natural_226.jpg,LZ_natural\LZ_natural_91.jpg,LZ_natural\LZ_natural_78.jpg,LZ_natural\LZ_natural_34.jpg,LZ_natural\LZ_natural_100.jpg,LZ_natural\LZ_natural_104.jpg,LZ_natural\LZ_natural_203.jpg,LZ_natural\LZ_natural_59.jpg,LZ_natural\LZ_natural_57.jpg,None,None,None,None,3,LZ_natural\LZ_natural_100.jpg,1,a,1,13,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.27614209998865,None,,,,,,,,,72.28085959999589,73.28862619999563,73.27912079996895,None,a,1,0.7272290000109933,1.004586900002323,None,68.35014469997259,68.65359479998006,68.69566729996586,69.00092640001094,69.04310979996808,69.34819889999926,69.34234099998139,69.64677689998643,69.69578969996655,70.0008713999996,70.04331069998443,70.34837720001815,70.3421855000197,70.64644869999029,70.69572159997188,71.00058390002232,71.04281959997024,71.34857560001547,71.34228659997461,71.64672710001469,71.69576699996833,72.00100879999809,72.04279969999334,None,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1752,new_STLI_updated,2020.2.10,143.90911861214985,
LZ_noise\LZ_noise_226.jpg,LZ_noise\LZ_noise_235.jpg,LZ_noise\LZ_noise_157.jpg,LZ_noise\LZ_noise_3.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_noise\LZ_noise_226.jpg,1,a,3,31,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.01727579999715,None,75.06110679998528,76.0639894999913,76.05724729999201,77.0568796999869,77.0568796999869,78.05723909998778,78.05723909998778,None,79.0268170000054,80.03057790000457,80.02269820001675,None,a,1,0.5514720000210218,1.000643199949991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1752,new_STLI_updated,2020.2.10,143.90911861214985,
LZ_scrambled\LZ_scrambled_80.jpg,LZ_scrambled\LZ_scrambled_200.jpg,LZ_scrambled\LZ_scrambled_35.jpg,LZ_scrambled\LZ_scrambled_144.jpg,LZ_scrambled\LZ_scrambled_123.jpg,LZ_scrambled\LZ_scrambled_97.jpg,LZ_scrambled\LZ_scrambled_41.jpg,LZ_scrambled\LZ_scrambled_79.jpg,None,None,None,None,None,None,None,None,2,LZ_scrambled\LZ_scrambled_41.jpg,1,a,2,22,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.59074650000548,None,,,,,,,,,85.56308960000752,86.56600869999966,86.5501479000086,None,l,0,1.024022799974773,0.9998749999795109,None,,,,,,,,,,,,,,,,,,,,,,,,,81.78278229996795,82.23696750000818,82.27267659996869,82.72311570000602,82.77247799996985,83.22319009999046,83.27267299999949,83.72332469996763,83.77264149999246,84.22310709999874,84.27239679999184,84.72292689996539,84.77272589999484,85.22328500001458,85.27231640001992,None,,,,001,2020_Dec_17_1752,new_STLI_updated,2020.2.10,143.90911861214985,
LZ_scrambled\LZ_scrambled_145.jpg,LZ_scrambled\LZ_scrambled_118.jpg,LZ_scrambled\LZ_scrambled_238.jpg,LZ_scrambled\LZ_scrambled_235.jpg,LZ_scrambled\LZ_scrambled_181.jpg,LZ_scrambled\LZ_scrambled_139.jpg,LZ_scrambled\LZ_scrambled_240.jpg,LZ_scrambled\LZ_scrambled_228.jpg,LZ_scrambled\LZ_scrambled_86.jpg,LZ_scrambled\LZ_scrambled_203.jpg,LZ_scrambled\LZ_scrambled_175.jpg,LZ_scrambled\LZ_scrambled_218.jpg,None,None,None,None,3,LZ_scrambled\LZ_scrambled_238.jpg,1,a,2,23,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.58762649999699,None,,,,,,,,,92.60320439998759,93.60798759997124,93.59186719998252,None,l,0,1.5427388999960385,0.9999570000218228,None,88.89165080001112,89.19545559998369,89.22390789998462,89.5289850999834,89.5712958999793,89.87693909998052,89.87693909998052,90.181220199971,90.22374320001109,90.52847550000297,90.5777461999678,90.88309060002211,90.87673119996907,91.18124479998369,91.22366389998933,91.52846509998199,91.57785970001714,91.88306309998734,91.87685210001655,92.18120940000517,92.22366479999619,92.5284692000132,92.57785950001562,None,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1752,new_STLI_updated,2020.2.10,143.90911861214985,
