imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code
LZ_natural\LZ_natural_220.jpg,LZ_natural\LZ_natural_80.jpg,LZ_natural\LZ_natural_93.jpg,LZ_natural\LZ_natural_165.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_204.jpg,    0,    l,    1,   11
LZ_natural\LZ_natural_205.jpg,LZ_natural\LZ_natural_210.jpg,LZ_natural\LZ_natural_163.jpg,LZ_natural\LZ_natural_171.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_175.jpg,    0,    l,    1,   11
LZ_natural\LZ_natural_16.jpg,LZ_natural\LZ_natural_52.jpg,LZ_natural\LZ_natural_192.jpg,LZ_natural\LZ_natural_107.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_16.jpg,    1,    a,    1,   11
LZ_natural\LZ_natural_69.jpg,LZ_natural\LZ_natural_208.jpg,LZ_natural\LZ_natural_152.jpg,LZ_natural\LZ_natural_76.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_2.jpg,    0,    l,    1,   11
LZ_natural\LZ_natural_44.jpg,LZ_natural\LZ_natural_160.jpg,LZ_natural\LZ_natural_78.jpg,LZ_natural\LZ_natural_21.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_199.jpg,    0,    l,    1,   11
LZ_natural\LZ_natural_17.jpg,LZ_natural\LZ_natural_199.jpg,LZ_natural\LZ_natural_71.jpg,LZ_natural\LZ_natural_41.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_natural\LZ_natural_199.jpg,    1,    a,    1,   11
LZ_natural\LZ_natural_89.jpg,LZ_natural\LZ_natural_140.jpg,LZ_natural\LZ_natural_186.jpg,LZ_natural\LZ_natural_75.jpg,LZ_natural\LZ_natural_200.jpg,LZ_natural\LZ_natural_22.jpg,LZ_natural\LZ_natural_94.jpg,LZ_natural\LZ_natural_179.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_natural\LZ_natural_87.jpg,    0,    l,    1,   12
LZ_natural\LZ_natural_108.jpg,LZ_natural\LZ_natural_232.jpg,LZ_natural\LZ_natural_128.jpg,LZ_natural\LZ_natural_26.jpg,LZ_natural\LZ_natural_49.jpg,LZ_natural\LZ_natural_222.jpg,LZ_natural\LZ_natural_113.jpg,LZ_natural\LZ_natural_189.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_natural\LZ_natural_128.jpg,    1,    a,    1,   12
LZ_natural\LZ_natural_182.jpg,LZ_natural\LZ_natural_28.jpg,LZ_natural\LZ_natural_9.jpg,LZ_natural\LZ_natural_213.jpg,LZ_natural\LZ_natural_53.jpg,LZ_natural\LZ_natural_18.jpg,LZ_natural\LZ_natural_39.jpg,LZ_natural\LZ_natural_129.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_natural\LZ_natural_199.jpg,    0,    l,    1,   12
LZ_natural\LZ_natural_20.jpg,LZ_natural\LZ_natural_66.jpg,LZ_natural\LZ_natural_227.jpg,LZ_natural\LZ_natural_215.jpg,LZ_natural\LZ_natural_102.jpg,LZ_natural\LZ_natural_11.jpg,LZ_natural\LZ_natural_109.jpg,LZ_natural\LZ_natural_68.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_natural\LZ_natural_11.jpg,    1,    a,    1,   12
LZ_natural\LZ_natural_204.jpg,LZ_natural\LZ_natural_238.jpg,LZ_natural\LZ_natural_64.jpg,LZ_natural\LZ_natural_147.jpg,LZ_natural\LZ_natural_4.jpg,LZ_natural\LZ_natural_185.jpg,LZ_natural\LZ_natural_234.jpg,LZ_natural\LZ_natural_158.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_natural\LZ_natural_234.jpg,    1,    a,    1,   12
LZ_natural\LZ_natural_175.jpg,LZ_natural\LZ_natural_135.jpg,LZ_natural\LZ_natural_103.jpg,LZ_natural\LZ_natural_230.jpg,LZ_natural\LZ_natural_35.jpg,LZ_natural\LZ_natural_120.jpg,LZ_natural\LZ_natural_3.jpg,LZ_natural\LZ_natural_178.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_natural\LZ_natural_103.jpg,    1,    a,    1,   12
LZ_natural\LZ_natural_176.jpg,LZ_natural\LZ_natural_183.jpg,LZ_natural\LZ_natural_51.jpg,LZ_natural\LZ_natural_146.jpg,LZ_natural\LZ_natural_73.jpg,LZ_natural\LZ_natural_239.jpg,LZ_natural\LZ_natural_96.jpg,LZ_natural\LZ_natural_150.jpg,LZ_natural\LZ_natural_92.jpg,LZ_natural\LZ_natural_84.jpg,LZ_natural\LZ_natural_194.jpg,LZ_natural\LZ_natural_27.jpg,     ,     ,     ,     ,    3,LZ_natural\LZ_natural_239.jpg,    1,    a,    1,   13
LZ_natural\LZ_natural_10.jpg,LZ_natural\LZ_natural_62.jpg,LZ_natural\LZ_natural_54.jpg,LZ_natural\LZ_natural_86.jpg,LZ_natural\LZ_natural_190.jpg,LZ_natural\LZ_natural_162.jpg,LZ_natural\LZ_natural_23.jpg,LZ_natural\LZ_natural_126.jpg,LZ_natural\LZ_natural_125.jpg,LZ_natural\LZ_natural_111.jpg,LZ_natural\LZ_natural_211.jpg,LZ_natural\LZ_natural_25.jpg,     ,     ,     ,     ,    3,LZ_natural\LZ_natural_7.jpg,    0,    l,    1,   13
LZ_natural\LZ_natural_40.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_95.jpg,LZ_natural\LZ_natural_177.jpg,LZ_natural\LZ_natural_104.jpg,LZ_natural\LZ_natural_50.jpg,LZ_natural\LZ_natural_149.jpg,LZ_natural\LZ_natural_13.jpg,LZ_natural\LZ_natural_170.jpg,LZ_natural\LZ_natural_6.jpg,LZ_natural\LZ_natural_240.jpg,LZ_natural\LZ_natural_1.jpg,     ,     ,     ,     ,    3,LZ_natural\LZ_natural_182.jpg,    0,    l,    1,   13
LZ_natural\LZ_natural_77.jpg,LZ_natural\LZ_natural_15.jpg,LZ_natural\LZ_natural_98.jpg,LZ_natural\LZ_natural_214.jpg,LZ_natural\LZ_natural_72.jpg,LZ_natural\LZ_natural_217.jpg,LZ_natural\LZ_natural_181.jpg,LZ_natural\LZ_natural_60.jpg,LZ_natural\LZ_natural_58.jpg,LZ_natural\LZ_natural_161.jpg,LZ_natural\LZ_natural_139.jpg,LZ_natural\LZ_natural_127.jpg,     ,     ,     ,     ,    3,LZ_natural\LZ_natural_47.jpg,    0,    l,    1,   13
LZ_natural\LZ_natural_133.jpg,LZ_natural\LZ_natural_7.jpg,LZ_natural\LZ_natural_131.jpg,LZ_natural\LZ_natural_231.jpg,LZ_natural\LZ_natural_154.jpg,LZ_natural\LZ_natural_115.jpg,LZ_natural\LZ_natural_59.jpg,LZ_natural\LZ_natural_87.jpg,LZ_natural\LZ_natural_166.jpg,LZ_natural\LZ_natural_29.jpg,LZ_natural\LZ_natural_130.jpg,LZ_natural\LZ_natural_32.jpg,     ,     ,     ,     ,    3,LZ_natural\LZ_natural_18.jpg,    0,    l,    1,   13
LZ_natural\LZ_natural_42.jpg,LZ_natural\LZ_natural_198.jpg,LZ_natural\LZ_natural_219.jpg,LZ_natural\LZ_natural_216.jpg,LZ_natural\LZ_natural_2.jpg,LZ_natural\LZ_natural_138.jpg,LZ_natural\LZ_natural_99.jpg,LZ_natural\LZ_natural_46.jpg,LZ_natural\LZ_natural_228.jpg,LZ_natural\LZ_natural_233.jpg,LZ_natural\LZ_natural_37.jpg,LZ_natural\LZ_natural_117.jpg,     ,     ,     ,     ,    3,LZ_natural\LZ_natural_216.jpg,    1,    a,    1,   13
