imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer,stimulus_type,condition_code
LZ_scrambled\LZ_scrambled_234.jpg,LZ_scrambled\LZ_scrambled_147.jpg,LZ_scrambled\LZ_scrambled_137.jpg,LZ_scrambled\LZ_scrambled_88.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_scrambled\LZ_scrambled_150.jpg,LZ_scrambled\LZ_scrambled_29.jpg,LZ_scrambled\LZ_scrambled_233.jpg,LZ_scrambled\LZ_scrambled_234.jpg,    m,    2,   21
LZ_scrambled\LZ_scrambled_82.jpg,LZ_scrambled\LZ_scrambled_112.jpg,LZ_scrambled\LZ_scrambled_32.jpg,LZ_scrambled\LZ_scrambled_122.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_scrambled\LZ_scrambled_218.jpg,LZ_scrambled\LZ_scrambled_222.jpg,LZ_scrambled\LZ_scrambled_13.jpg,LZ_scrambled\LZ_scrambled_112.jpg,    m,    2,   21
LZ_scrambled\LZ_scrambled_65.jpg,LZ_scrambled\LZ_scrambled_238.jpg,LZ_scrambled\LZ_scrambled_68.jpg,LZ_scrambled\LZ_scrambled_117.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_scrambled\LZ_scrambled_131.jpg,LZ_scrambled\LZ_scrambled_150.jpg,LZ_scrambled\LZ_scrambled_2.jpg,LZ_scrambled\LZ_scrambled_68.jpg,    m,    2,   21
LZ_scrambled\LZ_scrambled_218.jpg,LZ_scrambled\LZ_scrambled_228.jpg,LZ_scrambled\LZ_scrambled_6.jpg,LZ_scrambled\LZ_scrambled_176.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_scrambled\LZ_scrambled_30.jpg,LZ_scrambled\LZ_scrambled_96.jpg,LZ_scrambled\LZ_scrambled_136.jpg,LZ_scrambled\LZ_scrambled_6.jpg,    m,    2,   21
LZ_scrambled\LZ_scrambled_17.jpg,LZ_scrambled\LZ_scrambled_197.jpg,LZ_scrambled\LZ_scrambled_40.jpg,LZ_scrambled\LZ_scrambled_119.jpg,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    1,LZ_scrambled\LZ_scrambled_159.jpg,LZ_scrambled\LZ_scrambled_11.jpg,LZ_scrambled\LZ_scrambled_29.jpg,LZ_scrambled\LZ_scrambled_197.jpg,    m,    2,   21
LZ_scrambled\LZ_scrambled_28.jpg,LZ_scrambled\LZ_scrambled_45.jpg,LZ_scrambled\LZ_scrambled_232.jpg,LZ_scrambled\LZ_scrambled_49.jpg,LZ_scrambled\LZ_scrambled_110.jpg,LZ_scrambled\LZ_scrambled_173.jpg,LZ_scrambled\LZ_scrambled_182.jpg,LZ_scrambled\LZ_scrambled_208.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_scrambled\LZ_scrambled_139.jpg,LZ_scrambled\LZ_scrambled_100.jpg,LZ_scrambled\LZ_scrambled_82.jpg,LZ_scrambled\LZ_scrambled_45.jpg,    m,    2,   22
LZ_scrambled\LZ_scrambled_140.jpg,LZ_scrambled\LZ_scrambled_166.jpg,LZ_scrambled\LZ_scrambled_98.jpg,LZ_scrambled\LZ_scrambled_134.jpg,LZ_scrambled\LZ_scrambled_48.jpg,LZ_scrambled\LZ_scrambled_43.jpg,LZ_scrambled\LZ_scrambled_226.jpg,LZ_scrambled\LZ_scrambled_130.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_scrambled\LZ_scrambled_171.jpg,LZ_scrambled\LZ_scrambled_28.jpg,LZ_scrambled\LZ_scrambled_18.jpg,LZ_scrambled\LZ_scrambled_43.jpg,    m,    2,   22
LZ_scrambled\LZ_scrambled_95.jpg,LZ_scrambled\LZ_scrambled_113.jpg,LZ_scrambled\LZ_scrambled_23.jpg,LZ_scrambled\LZ_scrambled_54.jpg,LZ_scrambled\LZ_scrambled_237.jpg,LZ_scrambled\LZ_scrambled_114.jpg,LZ_scrambled\LZ_scrambled_14.jpg,LZ_scrambled\LZ_scrambled_198.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_scrambled\LZ_scrambled_48.jpg,LZ_scrambled\LZ_scrambled_24.jpg,LZ_scrambled\LZ_scrambled_76.jpg,LZ_scrambled\LZ_scrambled_113.jpg,    m,    2,   22
LZ_scrambled\LZ_scrambled_90.jpg,LZ_scrambled\LZ_scrambled_240.jpg,LZ_scrambled\LZ_scrambled_93.jpg,LZ_scrambled\LZ_scrambled_143.jpg,LZ_scrambled\LZ_scrambled_121.jpg,LZ_scrambled\LZ_scrambled_29.jpg,LZ_scrambled\LZ_scrambled_2.jpg,LZ_scrambled\LZ_scrambled_203.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_scrambled\LZ_scrambled_232.jpg,LZ_scrambled\LZ_scrambled_4.jpg,LZ_scrambled\LZ_scrambled_221.jpg,LZ_scrambled\LZ_scrambled_240.jpg,    m,    2,   22
LZ_scrambled\LZ_scrambled_42.jpg,LZ_scrambled\LZ_scrambled_216.jpg,LZ_scrambled\LZ_scrambled_213.jpg,LZ_scrambled\LZ_scrambled_60.jpg,LZ_scrambled\LZ_scrambled_71.jpg,LZ_scrambled\LZ_scrambled_26.jpg,LZ_scrambled\LZ_scrambled_224.jpg,LZ_scrambled\LZ_scrambled_13.jpg,     ,     ,     ,     ,     ,     ,     ,     ,    2,LZ_scrambled\LZ_scrambled_137.jpg,LZ_scrambled\LZ_scrambled_224.jpg,LZ_scrambled\LZ_scrambled_186.jpg,LZ_scrambled\LZ_scrambled_216.jpg,    m,    2,   22
