imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code
LZ_scrambled\LZ_scrambled_190.jpg,LZ_scrambled\LZ_scrambled_7.jpg,LZ_scrambled\LZ_scrambled_85.jpg,LZ_scrambled\LZ_scrambled_220.jpg,,,,,,,,,,,,,1,LZ_scrambled\LZ_scrambled_7.jpg,1,a,2,21
LZ_noise\LZ_noise_195.jpg,LZ_noise\LZ_noise_173.jpg,LZ_noise\LZ_noise_119.jpg,LZ_noise\LZ_noise_85.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_102.jpg,0,l,3,31
LZ_natural\LZ_natural_173.jpg,LZ_natural\LZ_natural_79.jpg,LZ_natural\LZ_natural_35.jpg,LZ_natural\LZ_natural_143.jpg,LZ_natural\LZ_natural_39.jpg,LZ_natural\LZ_natural_25.jpg,LZ_natural\LZ_natural_206.jpg,LZ_natural\LZ_natural_80.jpg,LZ_natural\LZ_natural_112.jpg,LZ_natural\LZ_natural_235.jpg,LZ_natural\LZ_natural_115.jpg,LZ_natural\LZ_natural_207.jpg,,,,,3,LZ_natural\LZ_natural_206.jpg,1,a,1,13
LZ_scrambled\LZ_scrambled_13.jpg,LZ_scrambled\LZ_scrambled_234.jpg,LZ_scrambled\LZ_scrambled_21.jpg,LZ_scrambled\LZ_scrambled_208.jpg,LZ_scrambled\LZ_scrambled_189.jpg,LZ_scrambled\LZ_scrambled_29.jpg,LZ_scrambled\LZ_scrambled_117.jpg,LZ_scrambled\LZ_scrambled_54.jpg,LZ_scrambled\LZ_scrambled_198.jpg,LZ_scrambled\LZ_scrambled_222.jpg,LZ_scrambled\LZ_scrambled_126.jpg,LZ_scrambled\LZ_scrambled_180.jpg,,,,,3,LZ_scrambled\LZ_scrambled_96.jpg,0,l,2,23
LZ_scrambled\LZ_scrambled_95.jpg,LZ_scrambled\LZ_scrambled_45.jpg,LZ_scrambled\LZ_scrambled_105.jpg,LZ_scrambled\LZ_scrambled_100.jpg,LZ_scrambled\LZ_scrambled_69.jpg,LZ_scrambled\LZ_scrambled_120.jpg,LZ_scrambled\LZ_scrambled_131.jpg,LZ_scrambled\LZ_scrambled_68.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_131.jpg,1,a,2,22
LZ_noise\LZ_noise_31.jpg,LZ_noise\LZ_noise_53.jpg,LZ_noise\LZ_noise_231.jpg,LZ_noise\LZ_noise_228.jpg,LZ_noise\LZ_noise_151.jpg,LZ_noise\LZ_noise_68.jpg,LZ_noise\LZ_noise_59.jpg,LZ_noise\LZ_noise_148.jpg,LZ_noise\LZ_noise_163.jpg,LZ_noise\LZ_noise_108.jpg,LZ_noise\LZ_noise_109.jpg,LZ_noise\LZ_noise_146.jpg,,,,,3,LZ_noise\LZ_noise_140.jpg,0,l,3,33
LZ_natural\LZ_natural_232.jpg,LZ_natural\LZ_natural_165.jpg,LZ_natural\LZ_natural_46.jpg,LZ_natural\LZ_natural_226.jpg,LZ_natural\LZ_natural_91.jpg,LZ_natural\LZ_natural_78.jpg,LZ_natural\LZ_natural_34.jpg,LZ_natural\LZ_natural_100.jpg,LZ_natural\LZ_natural_104.jpg,LZ_natural\LZ_natural_203.jpg,LZ_natural\LZ_natural_59.jpg,LZ_natural\LZ_natural_57.jpg,,,,,3,LZ_natural\LZ_natural_100.jpg,1,a,1,13
LZ_noise\LZ_noise_226.jpg,LZ_noise\LZ_noise_235.jpg,LZ_noise\LZ_noise_157.jpg,LZ_noise\LZ_noise_3.jpg,,,,,,,,,,,,,1,LZ_noise\LZ_noise_226.jpg,1,a,3,31
LZ_scrambled\LZ_scrambled_80.jpg,LZ_scrambled\LZ_scrambled_200.jpg,LZ_scrambled\LZ_scrambled_35.jpg,LZ_scrambled\LZ_scrambled_144.jpg,LZ_scrambled\LZ_scrambled_123.jpg,LZ_scrambled\LZ_scrambled_97.jpg,LZ_scrambled\LZ_scrambled_41.jpg,LZ_scrambled\LZ_scrambled_79.jpg,,,,,,,,,2,LZ_scrambled\LZ_scrambled_41.jpg,1,a,2,22
LZ_scrambled\LZ_scrambled_145.jpg,LZ_scrambled\LZ_scrambled_118.jpg,LZ_scrambled\LZ_scrambled_238.jpg,LZ_scrambled\LZ_scrambled_235.jpg,LZ_scrambled\LZ_scrambled_181.jpg,LZ_scrambled\LZ_scrambled_139.jpg,LZ_scrambled\LZ_scrambled_240.jpg,LZ_scrambled\LZ_scrambled_228.jpg,LZ_scrambled\LZ_scrambled_86.jpg,LZ_scrambled\LZ_scrambled_203.jpg,LZ_scrambled\LZ_scrambled_175.jpg,LZ_scrambled\LZ_scrambled_218.jpg,,,,,3,LZ_scrambled\LZ_scrambled_238.jpg,1,a,2,23
