imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer,stimulus_type,condition_code
LZ_natural\LZ_natural_142.jpg,LZ_natural\LZ_natural_104.jpg,LZ_natural\LZ_natural_102.jpg,LZ_natural\LZ_natural_149.jpg,LZ_natural\LZ_natural_236.jpg,LZ_natural\LZ_natural_83.jpg,LZ_natural\LZ_natural_183.jpg,LZ_natural\LZ_natural_181.jpg,LZ_natural\LZ_natural_173.jpg,LZ_natural\LZ_natural_18.jpg,LZ_natural\LZ_natural_133.jpg,LZ_natural\LZ_natural_152.jpg,LZ_natural\LZ_natural_234.jpg,LZ_natural\LZ_natural_138.jpg,LZ_natural\LZ_natural_176.jpg,LZ_natural\LZ_natural_171.jpg,    4,LZ_natural\LZ_natural_19.jpg,LZ_natural\LZ_natural_7.jpg,LZ_natural\LZ_natural_104.jpg,LZ_natural\LZ_natural_125.jpg,    k,    1,   14
LZ_noise\LZ_noise_186.jpg,LZ_noise\LZ_noise_52.jpg,LZ_noise\LZ_noise_239.jpg,LZ_noise\LZ_noise_39.jpg,LZ_noise\LZ_noise_164.jpg,LZ_noise\LZ_noise_13.jpg,LZ_noise\LZ_noise_38.jpg,LZ_noise\LZ_noise_193.jpg,LZ_noise\LZ_noise_131.jpg,LZ_noise\LZ_noise_6.jpg,LZ_noise\LZ_noise_60.jpg,LZ_noise\LZ_noise_112.jpg,LZ_noise\LZ_noise_98.jpg,LZ_noise\LZ_noise_234.jpg,LZ_noise\LZ_noise_161.jpg,LZ_noise\LZ_noise_118.jpg,    1,LZ_noise\LZ_noise_239.jpg,LZ_noise\LZ_noise_218.jpg,LZ_noise\LZ_noise_113.jpg,LZ_noise\LZ_noise_98.jpg,    m,    3,   31
LZ_scrambled\LZ_scrambled_240.jpg,LZ_scrambled\LZ_scrambled_183.jpg,LZ_scrambled\LZ_scrambled_67.jpg,LZ_scrambled\LZ_scrambled_106.jpg,LZ_scrambled\LZ_scrambled_225.jpg,LZ_scrambled\LZ_scrambled_131.jpg,LZ_scrambled\LZ_scrambled_65.jpg,LZ_scrambled\LZ_scrambled_200.jpg,LZ_natural\LZ_natural_2.jpg,LZ_natural\LZ_natural_203.jpg,LZ_natural\LZ_natural_119.jpg,LZ_natural\LZ_natural_72.jpg,LZ_natural\LZ_natural_207.jpg,LZ_natural\LZ_natural_230.jpg,LZ_natural\LZ_natural_127.jpg,LZ_natural\LZ_natural_211.jpg,    2,LZ_scrambled\LZ_scrambled_219.jpg,LZ_scrambled\LZ_scrambled_125.jpg,LZ_scrambled\LZ_scrambled_7.jpg,LZ_scrambled\LZ_scrambled_65.jpg,    m,    2,   22
LZ_natural\LZ_natural_159.jpg,LZ_natural\LZ_natural_219.jpg,LZ_natural\LZ_natural_30.jpg,LZ_natural\LZ_natural_62.jpg,LZ_natural\LZ_natural_237.jpg,LZ_natural\LZ_natural_76.jpg,LZ_natural\LZ_natural_98.jpg,LZ_natural\LZ_natural_59.jpg,LZ_natural\LZ_natural_130.jpg,LZ_natural\LZ_natural_51.jpg,LZ_natural\LZ_natural_40.jpg,LZ_natural\LZ_natural_205.jpg,LZ_natural\LZ_natural_199.jpg,LZ_natural\LZ_natural_123.jpg,LZ_natural\LZ_natural_73.jpg,LZ_natural\LZ_natural_114.jpg,    1,LZ_natural\LZ_natural_73.jpg,LZ_natural\LZ_natural_192.jpg,LZ_natural\LZ_natural_89.jpg,LZ_natural\LZ_natural_191.jpg,    a,    1,   11
LZ_noise\LZ_noise_61.jpg,LZ_noise\LZ_noise_148.jpg,LZ_noise\LZ_noise_58.jpg,LZ_noise\LZ_noise_108.jpg,LZ_noise\LZ_noise_228.jpg,LZ_noise\LZ_noise_42.jpg,LZ_noise\LZ_noise_227.jpg,LZ_noise\LZ_noise_21.jpg,LZ_natural\LZ_natural_1.jpg,LZ_natural\LZ_natural_22.jpg,LZ_natural\LZ_natural_32.jpg,LZ_natural\LZ_natural_59.jpg,LZ_noise\LZ_noise_216.jpg,LZ_noise\LZ_noise_7.jpg,LZ_noise\LZ_noise_17.jpg,LZ_noise\LZ_noise_221.jpg,    2,LZ_noise\LZ_noise_17.jpg,LZ_noise\LZ_noise_9.jpg,LZ_noise\LZ_noise_227.jpg,LZ_noise\LZ_noise_234.jpg,    a,    3,   32
LZ_natural\LZ_natural_64.jpg,LZ_natural\LZ_natural_23.jpg,LZ_natural\LZ_natural_121.jpg,LZ_natural\LZ_natural_231.jpg,LZ_scrambled\LZ_scrambled_220.jpg,LZ_scrambled\LZ_scrambled_66.jpg,LZ_scrambled\LZ_scrambled_83.jpg,LZ_scrambled\LZ_scrambled_230.jpg,LZ_noise\LZ_noise_115.jpg,LZ_noise\LZ_noise_43.jpg,LZ_noise\LZ_noise_72.jpg,LZ_noise\LZ_noise_92.jpg,LZ_noise\LZ_noise_201.jpg,LZ_noise\LZ_noise_13.jpg,LZ_noise\LZ_noise_3.jpg,LZ_noise\LZ_noise_62.jpg,    1,LZ_natural\LZ_natural_45.jpg,LZ_natural\LZ_natural_55.jpg,LZ_natural\LZ_natural_18.jpg,LZ_noise\LZ_noise_72.jpg,    m,    1,   11
LZ_natural\LZ_natural_179.jpg,LZ_natural\LZ_natural_47.jpg,LZ_natural\LZ_natural_33.jpg,LZ_natural\LZ_natural_185.jpg,LZ_natural\LZ_natural_117.jpg,LZ_natural\LZ_natural_197.jpg,LZ_natural\LZ_natural_177.jpg,LZ_natural\LZ_natural_97.jpg,LZ_natural\LZ_natural_35.jpg,LZ_natural\LZ_natural_143.jpg,LZ_natural\LZ_natural_98.jpg,LZ_natural\LZ_natural_240.jpg,LZ_natural\LZ_natural_227.jpg,LZ_natural\LZ_natural_226.jpg,LZ_natural\LZ_natural_144.jpg,LZ_natural\LZ_natural_151.jpg,    4,LZ_natural\LZ_natural_50.jpg,LZ_natural\LZ_natural_165.jpg,LZ_natural\LZ_natural_227.jpg,LZ_natural\LZ_natural_140.jpg,    k,    1,   14
LZ_scrambled\LZ_scrambled_34.jpg,LZ_scrambled\LZ_scrambled_98.jpg,LZ_scrambled\LZ_scrambled_77.jpg,LZ_scrambled\LZ_scrambled_172.jpg,LZ_scrambled\LZ_scrambled_94.jpg,LZ_scrambled\LZ_scrambled_121.jpg,LZ_scrambled\LZ_scrambled_22.jpg,LZ_scrambled\LZ_scrambled_132.jpg,LZ_scrambled\LZ_scrambled_220.jpg,LZ_scrambled\LZ_scrambled_127.jpg,LZ_scrambled\LZ_scrambled_153.jpg,LZ_scrambled\LZ_scrambled_143.jpg,LZ_scrambled\LZ_scrambled_24.jpg,LZ_scrambled\LZ_scrambled_227.jpg,LZ_scrambled\LZ_scrambled_131.jpg,LZ_scrambled\LZ_scrambled_147.jpg,    2,LZ_scrambled\LZ_scrambled_7.jpg,LZ_scrambled\LZ_scrambled_26.jpg,LZ_scrambled\LZ_scrambled_112.jpg,LZ_scrambled\LZ_scrambled_77.jpg,    m,    2,   22
LZ_natural\LZ_natural_194.jpg,LZ_natural\LZ_natural_77.jpg,LZ_natural\LZ_natural_34.jpg,LZ_natural\LZ_natural_175.jpg,LZ_natural\LZ_natural_134.jpg,LZ_natural\LZ_natural_201.jpg,LZ_natural\LZ_natural_239.jpg,LZ_natural\LZ_natural_182.jpg,LZ_natural\LZ_natural_74.jpg,LZ_natural\LZ_natural_56.jpg,LZ_natural\LZ_natural_4.jpg,LZ_natural\LZ_natural_147.jpg,LZ_scrambled\LZ_scrambled_3.jpg,LZ_scrambled\LZ_scrambled_219.jpg,LZ_scrambled\LZ_scrambled_154.jpg,LZ_scrambled\LZ_scrambled_84.jpg,    3,LZ_natural\LZ_natural_25.jpg,LZ_natural\LZ_natural_127.jpg,LZ_natural\LZ_natural_175.jpg,LZ_natural\LZ_natural_167.jpg,    k,    1,   13
LZ_scrambled\LZ_scrambled_211.jpg,LZ_scrambled\LZ_scrambled_44.jpg,LZ_scrambled\LZ_scrambled_236.jpg,LZ_scrambled\LZ_scrambled_87.jpg,LZ_scrambled\LZ_scrambled_184.jpg,LZ_scrambled\LZ_scrambled_90.jpg,LZ_scrambled\LZ_scrambled_223.jpg,LZ_scrambled\LZ_scrambled_117.jpg,LZ_scrambled\LZ_scrambled_231.jpg,LZ_scrambled\LZ_scrambled_25.jpg,LZ_scrambled\LZ_scrambled_62.jpg,LZ_scrambled\LZ_scrambled_112.jpg,LZ_scrambled\LZ_scrambled_134.jpg,LZ_scrambled\LZ_scrambled_191.jpg,LZ_scrambled\LZ_scrambled_71.jpg,LZ_scrambled\LZ_scrambled_196.jpg,    4,LZ_scrambled\LZ_scrambled_211.jpg,LZ_scrambled\LZ_scrambled_192.jpg,LZ_scrambled\LZ_scrambled_25.jpg,LZ_scrambled\LZ_scrambled_44.jpg,    m,    2,   24
